PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,OCCUPANCY,BFACTOR,HYDROGENS,STRUCFAC,CHAINS,RESIDUES,NUCLEOTIDES,DATE,COMMENTS
1QCU,1.2,RNA,N,0.117,0.150,N,0,N,Y,AD,0,44,14-MAY-99,NA
1QD8,1,ANTIBIOTIC,Y,NULL,0.131,N,16.03,N,N,AB,2,0,15-JUL-99,NA
1QDD,1.3,METALBINDINGPROTEIN,N,0.132,0.159,Y,49.83,N,N,A,144,0,20-MAY-99,NA
1QFI,0.91,ANTIBIOTIC,N,0.065,NULL,N,6.88,N,Y,ABC,9,0,12-APR-99,NA
1QOW,1.1,ANTIBIOTIC,N,0.141,NULL,N,51.23,N,Y,ABCDEF,84,0,19-NOV-99,NA
1QTN,1.2,HYDROLASE/HYDROLASEINHIBITOR,Y,0.166,0.188,Y,89.92,N,N,A,245,0,28-JUN-99,NA
1QTW,1,HYDROLASE,N,0.124,0.148,Y,129.69,Y,N,A,285,0,29-JUN-99,NA
1QV1,1.1,LUMINESCENTPROTEIN,N,0.133,0.158,Y,64.02,N,N,A,187,0,26-AUG-03,NA
1QWY,1.3,HYDROLASE,N,0.164,0.181,N,33.21,N,Y,A,234,0,03-SEP-03,NA
1QXY,1,HYDROLASE,N,0.144,0.165,Y,35.88,N,Y,A,249,0,09-SEP-03,NA
1QYL,1,DNA,N,0.149,0.184,N,0,N,Y,A,0,7,11-SEP-03,NA
1R0R,1.1,HYDROLASE,Y,0.159,0.184,Y,49.7,N,Y,E,325,0,22-SEP-03,NA
1R29,1.3,TRANSCRIPTION,N,0.131,0.173,Y,81.8,N,Y,A,122,0,26-SEP-03,NA
1R2Q,1.1,PROTEINTRANSPORT,N,0.125,0.169,Y,96.88,N,Y,A,170,0,29-SEP-03,NA
1R3G,1.2,DNA,N,0.134,0.174,N,0,N,Y,AB,0,18,01-OCT-03,NA
1R68,1.2,DNA,N,NULL,NULL,N,0,N,Y,A,0,6,15-OCT-03,NA
1R6J,0.73,MEMBRANEPROTEIN,N,0.074,0.087,Y,15.28,N,Y,A,82,0,15-OCT-03,NA
1RA0,1.1,HYDROLASE,N,0.168,0.172,N,39.91,N,Y,A,423,0,31-OCT-03,NA
1RB9,0.92,IRON-SULFURPROTEIN,N,0.073,NULL,Y,39.46,Y,Y,A,51,0,21-DEC-97,NA
1RRO,1.3,CALCIUM-BINDINGPROTEIN,N,0.176,NULL,N,36.81,N,Y,A,108,0,27-AUG-92,NA
1RTQ,0.95,HYDROLASE,N,NULL,0.151,Y,93.63,Y,N,A,291,0,10-DEC-03,NA
1RTT,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.211,0.228,N,37.7,N,Y,A,174,0,10-DEC-03,NA
1RUT,1.3,PROTEINBINDING,Y,0.157,0.193,Y,50.34,N,Y,NA,157,0,11-DEC-03,NA
1RW1,1,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.129,0.139,Y,42.2,Y,Y,A,111,0,15-DEC-03,NA
1RWH,1.3,LYASE,N,0.114,0.142,Y,52.55,N,N,A,754,0,16-DEC-03,NA
1RYO,1.2,METALTRANSPORT,N,0.221,0.235,Y,27.28,N,Y,A,324,0,22-DEC-03,NA
1S1P,1.2,OXIDOREDUCTASE,N,0.147,0.156,Y,41.08,N,N,A,315,0,07-JAN-04,NA
1S3C,1.3,OXIDOREDUCTASE,N,0.148,0.239,Y,139.21,N,N,A,138,0,13-JAN-04,NA
1S83,1.3,HYDROLASE,Y,0.163,0.178,Y,50.81,Y,Y,A,220,0,30-JAN-04,NA
1SAU,1.1,OXIDOREDUCTASE,N,0.109,0.137,Y,78.44,N,Y,A,114,0,09-FEB-04,NA
1SEG,1.3,TOXIN,N,0.155,0.178,Y,40.06,N,Y,A,64,0,17-FEB-04,NA
1SEN,1.2,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,NULL,0.184,Y,30.74,N,Y,A,135,0,17-FEB-04,NA
1SFS,1.1,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.102,0.135,Y,58.53,N,Y,A,213,0,20-FEB-04,NA
1SHO,1.1,ANTIBIOTIC,N,NULL,NULL,N,15.59,N,Y,AB,2,0,23-JUL-97,NA
1SK5,0.89,DNA,N,NULL,0.144,N,0,N,N,AB,0,20,04-MAR-04,NA
1SN4,1.3,TOXIN,N,0.166,0.192,Y,45.02,N,N,A,64,0,11-NOV-98,NA
1SXV,1.3,HYDROLASE,N,0.155,0.169,Y,37.55,N,Y,A,160,0,31-MAR-04,NA
1T1E,1.2,HYDROLASE,N,0.213,0.244,Y,45.68,N,N,A,534,0,16-APR-04,NA
1T1G,1.2,HYDROLASE,N,0.202,0.222,Y,36.89,N,N,A,357,0,16-APR-04,NA
1T3Y,1.1,PROTEINBINDING,N,0.119,0.159,Y,72.99,N,Y,A,131,0,28-APR-04,NA
1T7H,1.1,SIGNALINGPROTEIN,N,0.122,0.134,Y,24.37,N,Y,AB,36,0,10-MAY-04,NA
1T8K,1.1,LIPIDTRANSPORT,N,0.134,0.150,Y,33.67,N,N,A,77,0,13-MAY-04,NA
1TBF,1.3,HYDROLASE,Y,0.159,0.185,Y,39.98,N,Y,A,325,0,20-MAY-04,NA
1TG0,0.97,CONTRACTILEPROTEIN,N,0.146,0.193,Y,65.87,N,Y,A,66,0,28-MAY-04,NA
1TJY,1.3,SIGNALINGPROTEIN,N,0.156,0.172,Y,25.3,N,Y,A,316,0,07-JUN-04,NA
1TKJ,1.1,HYDROLASE,Y,0.117,0.147,Y,54.51,N,N,A,277,0,08-JUN-04,NA
1TO2,1.3,HYDROLASE,Y,0.169,0.183,Y,45.02,N,Y,E,345,0,11-JUN-04,NA
1TQG,0.98,TRANSFERASE,N,0.180,0.211,Y,74.94,Y,N,A,105,0,17-JUN-04,NA
1TT8,1,LYASE,N,0.123,0.153,Y,105.28,Y,Y,A,164,0,22-JUN-04,NA
1TU9,1.2,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.164,0.191,Y,43.28,N,Y,A,131,0,24-JUN-04,NA
1TUK,1.1,LIPIDTRANSPORT,N,0.138,0.162,Y,37.99,N,Y,A,67,0,25-JUN-04,NA
1U2H,0.96,CONTRACTILEPROTEIN,N,0.161,0.172,Y,23.49,N,Y,A,96,0,19-JUL-04,NA
1UAI,1.2,LYASE,N,0.170,0.190,N,27.32,N,Y,A,223,0,11-MAR-03,NA
1UCD,1.3,HYDROLASE,N,0.200,0.203,N,36.32,N,N,A,190,0,10-APR-03,NA
1UCS,0.62,ANTIFREEZEPROTEIN,N,0.139,0.155,Y,35.54,Y,Y,A,64,0,21-APR-03,NA
1UFY,0.96,ISOMERASE,N,0.110,0.127,Y,49.08,N,Y,A,121,0,11-JUN-03,NA
1UG6,0.99,HYDROLASE,N,0.122,0.130,N,35.31,N,Y,A,426,0,12-JUN-03,NA
1ULR,1.3,HYDROLASE,N,0.190,0.216,Y,25.62,N,Y,A,87,0,16-SEP-03,NA
1UNQ,0.98,TRANSFERASE,N,0.151,0.179,Y,58.81,N,Y,A,118,0,12-SEP-03,NA
1UOW,1,GLYCOPROTEIN,N,0.16658,0.18352,Y,37.37,N,Y,A,157,0,24-SEP-03,NA
1UOZ,1.1,HYDROLASE,N,0.113,0.130,Y,30.11,N,Y,A,300,0,26-SEP-03,NA
1US0,0.66,OXIDOREDUCTASE,Y,0.094,0.103,Y,56.34,N,Y,A,314,0,16-NOV-03,NA
1USE,1.3,SIGNALINGPROTEIN,N,0.175,0.196,Y,42.03,N,Y,A,40,0,21-NOV-03,NA
1USM,1.2,TRANSCRIPTIONALSTIMULATOR,N,0.215,0.228,Y,56.42,N,Y,A,77,0,26-NOV-03,NA
1V0L,0.98,HYDROLASE,Y,0.119,0.137,Y,28.66,N,Y,A,302,0,31-MAR-04,NA
1V4F,1.3,STRUCTURALPROTEIN,N,NULL,0.159,N,22.73,N,N,A,14,0,13-NOV-03,NA
1V6Q,1.3,STRUCTURALPROTEIN,N,NULL,0.189,N,20.97,N,N,A,14,0,03-DEC-03,NA
1V70,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.203,0.204,Y,37.47,N,Y,A,105,0,05-DEC-03,NA
1V7H,1.3,STRUCTURALPROTEIN,N,0.165,0.230,N,14.54,N,N,A,14,0,17-DEC-03,NA
1VB0,0.92,TOXIN,N,NULL,0.133,Y,24.79,N,N,A,61,0,20-FEB-04,NA
1VBW,0.93,PROTEINBINDING,N,NULL,0.143,Y,66.03,N,Y,A,68,0,03-MAR-04,NA
1VD6,1.3,HYDROLASE,N,0.217,0.233,Y,56.34,N,Y,A,218,0,18-MAR-04,NA
1VE4,1.2,TRANSFERASE,N,0.230,0.247,N,37.07,N,Y,A,201,0,27-MAR-04,NA
1VFY,1.1,TRANSPORTPROTEIN,N,0.174,0.181,N,49.12,N,Y,NA,67,0,26-APR-99,NA
1VK1,1.2,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.166,0.175,Y,36.99,N,Y,A,223,0,13-APR-04,NA
1VL9,0.97,HYDROLASE,N,NULL,0.134,Y,78.39,N,Y,A,123,0,15-JUL-04,NA
1VLY,1.3,TRANSFERASE,N,0.136,0.168,Y,46.31,N,Y,A,314,0,20-AUG-04,NA
1VP8,1.3,FLAVOPROTEIN,N,0.155,0.166,Y,48.51,N,Y,A,183,0,14-OCT-04,NA
1VRO,1.1,DNA,N,NULL,0.129,N,0,N,Y,AB,0,10,14-APR-05,NA
1VRZ,1.1,DENOVOPROTEIN,N,0.125,NULL,N,20.4,Y,Y,A,13,0,14-OCT-05,NA
1VTR,1,DNA,N,0.153,NULL,N,0,N,N,A,0,4,18-AUG-88,NA
1VTT,1,DNA,N,0.195,NULL,N,0,N,N,AB,0,12,18-AUG-88,NA
1VTV,1.3,DNA,N,0.156,NULL,N,0,N,N,AB,0,6,10-JAN-89,NA
1VTW,1.2,DNA,N,0.160,NULL,N,0,N,N,AB,0,8,18-AUG-88,NA
1VTY,1.3,DNA,N,0.217,NULL,N,0,N,N,AB,0,10,18-AUG-88,NA
1VYR,0.9,OXIDOREDUCTASE,Y,0.1162,0.1398,Y,97.19,Y,Y,A,363,0,05-MAY-04,NA
1W0N,0.8,HYDROLASE,Y,0.129,0.144,Y,35.05,N,Y,A,120,0,09-JUN-04,NA
1W2L,1.3,OXIDOREDUCTASE,N,0.142,0.170,N,70.02,N,N,A,97,0,06-JUL-04,NA
1W3M,1,ANTIBIOTIC,N,0.139,0.171,Y,41.98,N,Y,ABCDEFGHIJKL,84,0,16-JUL-04,NA
1W5U,1.1,ANTIBIOTIC,N,0.173,0.215,Y,33.9,N,Y,ABCD,32,0,10-AUG-04,NA
1W66,1.1,TRANSFERASE,N,0.117,0.146,Y,84.48,N,Y,A,218,0,13-AUG-04,NA
1W7C,1.2,OXIDOREDUCTASE,N,0.113,0.146,Y,121.93,Y,Y,A,736,0,01-SEP-04,NA
1W7Q,1.1,ANTIBIOTIC,N,0.169,0.195,N,47.17,N,Y,ABCDEF,24,0,08-SEP-04,NA
1WC2,1.2,HYDROLASE,N,0.147,0.162,Y,27.29,N,Y,A,180,0,08-NOV-04,NA
1WCW,1.3,LYASE,N,0.188,0.216,N,53.65,N,Y,A,254,0,06-MAY-04,NA
1WDP,1.3,HYDROLASE,N,0.118,0.174,Y,113.27,N,Y,A,493,0,17-MAY-04,NA
1WKR,1.3,HYDROLASE/HYDROLASEINHIBITOR,N,0.147,0.171,Y,38.41,N,Y,A,343,0,02-JUN-04,NA
1WLY,1.3,OXIDOREDUCTASE,N,0.212,0.232,N,64.22,N,Y,A,322,0,30-JUN-04,NA
1WM3,1.2,PROTEINTRANSPORT,N,0.119,0.185,N,94.66,N,Y,A,72,0,02-JUL-04,NA
1WMA,1.2,OXIDOREDUCTASE,Y,0.109,0.167,Y,91.07,N,Y,A,275,0,06-JUL-04,NA
1WMD,1.3,HYDROLASE,N,NULL,0.169,Y,44.25,N,Y,A,434,0,08-JUL-04,NA
1WN2,1.2,HYDROLASE,N,0.193,0.215,Y,41.07,N,Y,A,118,0,26-JUL-04,NA
1WRI,1.2,ELECTRONTRANSPORT,N,0.118,0.141,Y,63.08,N,Y,A,93,0,18-OCT-04,NA
1WVF,1.3,OXIDOREDUCTASE,N,0.146,0.167,Y,32.53,N,Y,NA,515,0,15-DEC-04,NA
1WY3,0.95,STRUCTURALPROTEIN,N,NULL,0.171,Y,54.86,Y,Y,A,34,0,04-FEB-05,NA
1X6Z,0.78,STRUCTURALPROTEIN,N,0.143,0.153,Y,69.37,Y,Y,A,120,0,12-AUG-04,NA
1XDN,1.2,LIGASE,N,0.129,0.148,Y,32.86,N,Y,A,262,0,07-SEP-04,NA
1XEO,1.3,HYDROLASE,N,0.200,0.215,Y,60.25,N,Y,A,165,0,10-SEP-04,NA
1XMK,0.97,HYDROLASE,N,0.145,0.183,Y,141.78,N,Y,A,79,0,03-OCT-04,NA
1XMT,1.1,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.149,0.170,Y,51.34,N,Y,A,95,0,04-OCT-04,NA
1XQO,1,LYASE,N,0.159,0.183,Y,39.3,N,Y,A,253,0,13-OCT-04,NA
1XT5,1.1,IMMUNESYSTEM,N,0.128,0.153,Y,36.46,N,Y,NA,135,0,21-OCT-04,NA
1XUB,1.3,BIOSYNTHETICPROTEIN,N,0.135,0.160,Y,73.37,N,Y,A,278,0,26-OCT-04,NA
1XUW,1.3,DNA,N,0.153,0.221,N,0,N,Y,AB,0,18,26-OCT-04,NA
1XUX,1.3,DNA,N,0.127,0.194,N,0,N,Y,ABCD,0,36,26-OCT-04,NA
1XVK,1.3,DNA/ANTIBIOTIC,Y,0.183,0.221,N,18.78,N,Y,A,2,8,28-OCT-04,NA
1XY1,1,HORMONE,N,NULL,NULL,N,1.48,Y,N,AB,16,0,05-JUN-87,NA
1XY2,1.2,HORMONE,N,NULL,NULL,Y,0.3,N,N,A,8,0,05-JUN-87,NA
1Y0M,1.2,HYDROLASE,N,NULL,0.177,Y,24.92,N,Y,NA,61,0,15-NOV-04,NA
1Y6X,1.3,HYDROLASE,N,NULL,0.207,N,23.72,N,Y,A,86,0,07-DEC-04,NA
1Y93,1,HYDROLASE,Y,0.157,0.168,Y,39.4,Y,Y,A,158,0,14-DEC-04,NA
1YFQ,1.1,SIGNALINGPROTEIN,N,0.152,0.186,N,112.82,N,N,A,342,0,03-JAN-05,NA
1YG9,1.3,HYDROLASEALLERGEN,N,0.181,0.212,Y,105.58,N,Y,A,319,0,04-JAN-05,NA
1YJO,1.3,PROTEINBINDING,N,0.103,0.152,N,8.64,N,Y,NA,6,0,15-JAN-05,NA
1YK4,0.69,ELECTRONTRANSPORT,N,0.100,0.108,Y,87.66,Y,Y,A,52,0,17-JAN-05,NA
1YMT,1.2,TRANSCRIPTION,N,0.197,0.214,Y,49.65,N,Y,A,245,0,21-JAN-05,NA
1YQS,1.1,HYDROLASE,N,0.114,0.136,Y,64.94,N,Y,A,345,0,02-FEB-05,NA
1YS1,1.1,HYDROLASE,Y,0.150,0.158,N,24.11,N,Y,X,320,0,06-FEB-05,NA
1Z0W,1.2,HYDROLASE,N,0.137,0.181,Y,108.49,N,Y,A,203,0,02-MAR-05,NA
1Z2N,1.2,TRANSFERASE,Y,0.182,0.205,N,32.76,N,Y,X,311,0,08-MAR-05,NA
1Z2U,1.1,LIGASE,N,NULL,0.149,Y,28.94,N,Y,A,150,0,09-MAR-05,NA
1Z6M,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.157,0.187,Y,31.1,N,Y,A,171,0,22-MAR-05,NA
1Z70,1.1,OXIDOREDUCTASE,N,0.139,0.170,Y,57.05,N,Y,X,274,0,23-MAR-05,NA
1Z7I,1.3,DNA,N,0.177,0.200,N,0,N,Y,A,0,7,24-MAR-05,NA
1ZCE,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.195,0.211,N,28.45,N,Y,A,139,0,11-APR-05,NA
1ZF5,0.99,DNA,N,NULL,0.298,N,0,N,Y,A,0,10,19-APR-05,NA
1ZF7,1.1,DNA,N,0.276,0.288,N,0,N,Y,AB,0,20,20-APR-05,NA
1ZFF,0.94,DNA,N,0.428,0.444,N,0,N,Y,A,0,10,20-APR-05,NA
1ZGX,1.1,HYDROLASE,N,0.129,0.164,Y,33.51,N,Y,A,96,0,22-APR-05,NA
1ZK4,1,OXIDOREDUCTASE,N,0.159,0.176,Y,35.19,N,Y,A,251,0,02-MAY-05,NA
1ZLB,0.97,HYDROLASE,N,0.151,0.196,Y,45.51,N,Y,A,122,0,05-MAY-05,NA
1ZLM,1.1,SIGNALINGPROTEIN,N,0.160,0.212,N,58.04,N,Y,A,58,0,06-MAY-05,NA
1ZMA,1.3,TRANSPORTPROTEIN,N,0.131,0.167,Y,22.83,N,Y,A,116,0,10-MAY-05,NA
1ZUA,1.3,OXIDOREDUCTASE,Y,0.131,0.156,Y,45.13,N,Y,X,317,0,30-MAY-05,NA
1ZUU,0.97,UNKNOWNFUNCTION,N,0.124,0.142,Y,23.89,N,Y,A,56,0,01-JUN-05,NA
1ZVG,1.2,TOXIN,N,0.158,0.162,N,29.45,N,Y,A,66,0,02-JUN-05,NA
1ZZK,0.95,DNABINDINGPROTEIN,N,0.124,0.127,Y,80.06,N,Y,A,80,0,14-JUN-05,NA
232D,1.3,DNA,N,NULL,0.216,N,0,N,N,A,0,10,05-SEP-95,NA
244D,1.2,DNA,N,NULL,0.176,N,0,N,N,ABCDEFGHIJKLMNOP,0,96,19-OCT-95,NA
284D,1.1,DNA,N,NULL,NULL,N,0,N,Y,AB,0,16,11-SEP-96,NA
292D,1,DNA,N,0.161,NULL,N,0,N,N,AB,0,12,09-OCT-91,NA
293D,1,DNA,N,0.191,NULL,N,0,N,N,AB,0,12,09-OCT-96,NA
2A3N,1.2,SUGARBINDINGPROTEIN,N,0.113,0.140,Y,40.92,N,Y,A,325,0,25-JUN-05,NA
2A6Z,1,SUGARBINDINGPROTEIN,N,0.130,0.163,Y,66.16,N,Y,A,222,0,04-JUL-05,NA
2ABS,1.1,SIGNALINGPROTEINTRANSFERASE,Y,0.137,0.167,Y,71,N,Y,A,340,0,16-JUL-05,NA
2AGK,1.3,ISOMERASE,N,NULL,0.216,Y,44.57,N,Y,NA,233,0,27-JUL-05,NA
2AHN,1.3,ALLERGEN,N,0.117,0.146,Y,51.91,N,Y,A,222,0,28-JUL-05,NA
2AU7,1.1,HYDROLASE,N,0.123,0.153,Y,133,N,Y,A,175,0,27-AUG-05,NA
2B69,1.2,LYASE,N,0.136,0.162,Y,50.37,N,Y,A,302,0,30-SEP-05,NA
2BBR,1.2,VIRALPROTEIN,N,0.211,0.226,N,37.91,N,Y,A,189,0,17-OCT-05,NA
2BF9,0.99,HORMONE,N,0.137,0.179,Y,108.38,Y,Y,A,35,0,06-DEC-04,NA
2BFI,1.1,AMYLOID,N,NULL,NULL,N,0,Y,N,A,12,0,07-DEC-04,NA
2BHU,1.1,HYDROLASE,N,0.129,0.159,Y,56.81,N,Y,A,580,0,18-JAN-05,NA
2BK9,1.2,OXYGENTRANSPORT,N,0.102,0.134,Y,27.74,Y,Y,A,153,0,14-FEB-05,NA
2BMO,1.2,OXIDOREDUCTASE,N,0.156,0.172,Y,69.02,N,Y,A,631,0,15-MAR-05,NA
2BOG,1,HYDROLASE,N,0.150,0.165,Y,33.69,N,Y,X,280,0,10-APR-05,NA
2BW4,0.9,OXIDOREDUCTASE,N,0.118,0.134,Y,24.56,N,Y,A,334,0,12-JUL-05,NA
2BZV,1.1,VIRALPROTEIN,N,0.124,0.131,Y,56.16,N,Y,A,148,0,23-AUG-05,NA
2BZZ,0.98,HYDROLASE,Y,NULL,NULL,Y,63.93,N,Y,A,135,0,24-AUG-05,NA
2C2U,1.1,DNA-BINDINGPROTEIN,N,0.127,0.149,Y,32.15,N,Y,A,178,0,30-SEP-05,NA
2C60,1.3,TRANSFERASE,N,0.166,0.182,Y,36.8,N,Y,NA,83,0,04-NOV-05,NA
2C71,1.1,HYDROLASE,N,0.125,0.142,Y,121.14,N,Y,NA,205,0,17-NOV-05,NA
2CAL,1.1,ELECTRONTRANSPORT,N,NULL,0.170,Y,78.69,Y,Y,A,153,0,21-DEC-05,NA
2CC6,1.3,FLAVOPROTEIN,Y,0.208,0.232,N,39.87,N,Y,A,64,0,12-JAN-06,NA
2CCV,1.3,LECTIN,N,NULL,0.179,Y,106.57,N,Y,A,99,0,18-JAN-06,NA
2CCW,1.1,ELECTRONTRANSPORT(CUPROPROTEIN),N,NULL,0.146,Y,33.34,N,Y,A,129,0,18-JAN-06,NA
2CE0,1.2,ELECTRONTRANSFER,N,0.184,0.212,Y,35.5,N,Y,A,99,0,01-FEB-06,NA
2CE2,1,SIGNALINGPROTEIN,N,0.145,0.163,Y,23.77,N,Y,X,166,0,02-FEB-06,NA
2CG7,1.2,SIGNALINGPROTEIN,N,0.190,0.219,Y,23.02,N,Y,A,90,0,27-FEB-06,NA
2CHH,1,LECTIN,N,0.100,0.110,Y,34.05,N,Y,A,113,0,15-MAR-06,NA
2CI1,1.1,HYDROLASE,N,0.112,0.141,Y,92.25,N,Y,A,273,0,17-MAR-06,NA
2CIW,1.1,OXIDOREDUCTASE,Y,0.150,0.171,Y,34.57,N,Y,A,298,0,26-MAR-06,NA
2CM5,1.3,PROTEINTRANSPORT,N,0.1453,0.1937,Y,67.54,N,Y,A,141,0,04-MAY-06,NA
2CNQ,1,LIGASE,N,0.116,0.130,Y,34.09,N,Y,A,301,0,23-MAY-06,NA
2CWS,1,LYASE,N,0.110,0.170,Y,54.45,N,Y,A,227,0,25-JUN-05,NA
2D1S,1.3,OXIDOREDUCTASE,N,0.181,0.201,Y,32.25,N,Y,A,538,0,31-AUG-05,NA
2D5M,1.1,ELECTRONTRANSPORT,N,0.135,0.162,Y,66.73,N,Y,A,183,0,02-NOV-05,NA
2DCG,0.9,DNA,N,0.140,NULL,N,0,N,N,AB,0,12,29-AUG-88,NA
2DDX,0.86,HYDROLASE,N,0.140,0.148,Y,18.13,N,Y,A,324,0,06-FEB-06,NA
2DKO,1.1,HYDROLASE/HYDROLASEINHIBITOR,N,NULL,0.175,Y,70.93,N,Y,A,253,0,12-APR-06,NA
2DPQ,1.3,METALBINDINGPROTEIN,N,0.121,0.161,Y,40.58,N,Y,A,12,0,13-MAY-06,NA
2DSX,0.68,ELECTRONTRANSPORT,N,0.103,0.111,Y,40.68,N,N,A,52,0,07-JUL-06,NA
2DYW,1.1,DNA,Y,0.188,0.232,N,0,N,N,AB,0,24,18-SEP-06,NA
2E3B,1.3,OXIDOREDUCTASE,N,0.148,0.199,Y,64.54,Y,Y,A,336,0,22-NOV-06,NA
2E4T,0.96,HYDROLASE,N,0.133,0.146,Y,41.87,N,Y,A,509,0,16-DEC-06,NA
2E7Z,1.3,LYASE,N,0.161,0.195,Y,36.73,N,Y,A,727,0,15-JAN-07,NA
2EHS,1.3,LIPIDTRANSPORT,N,0.197,0.222,Y,32.22,N,Y,A,75,0,08-MAR-07,NA
2EKP,1.1,OXIDOREDUCTASE,N,0.168,0.169,N,33.9,N,Y,A,238,0,23-MAR-07,NA
2ELG,1,DNA,N,0.232,0.247,N,0,N,Y,AB,0,12,27-MAR-07,NA
2F69,1.3,TRANSFERASE,Y,0.150,0.174,Y,54.46,N,Y,NA,251,0,28-NOV-05,NA
2F8W,1.2,DNA,N,0.180,0.215,N,0,N,Y,AB,0,12,04-DEC-05,NA
2F91,1.2,HYDROLASE/HYDROLASEINHIBITOR,Y,0.139,0.182,Y,59.3,Y,Y,A,258,0,05-DEC-05,NA
2FBA,1.1,HYDROLASE,N,0.146,0.161,Y,33.99,N,Y,A,492,0,09-DEC-05,NA
2FCL,1.2,TRANSFERASE,N,0.142,0.170,Y,46.16,N,Y,A,142,0,12-DEC-05,NA
2FCW,1.3,LIPIDTRANSPORT/ENDOCYTOSIS/CHAPERONE,Y,0.152,0.201,Y,89.07,N,Y,NA,184,0,12-DEC-05,NA
2FDN,0.94,ELECTRONTRANSPORT,N,NULL,NULL,Y,33.54,Y,Y,A,55,0,01-OCT-97,NA
2FE5,1.1,STRUCTURALPROTEIN,N,0.115,0.150,Y,39.73,N,Y,A,94,0,15-DEC-05,NA
2FG1,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.169,0.181,Y,36.24,N,Y,A,152,0,20-DEC-05,NA
2FHZ,1.1,IMMUNESYSTEMHYDROLASE,N,0.195,0.200,N,31.72,N,Y,A,199,0,27-DEC-05,NA
2FIH,1.1,DNA,N,0.188,0.240,N,0,N,Y,AB,0,22,29-DEC-05,NA
2FII,1.2,DNA,N,0.158,0.212,N,0,N,Y,AB,0,22,29-DEC-05,NA
2FIJ,1.2,DNA,N,0.159,0.169,N,0,N,Y,AB,0,16,29-DEC-05,NA
2FJ8,1.2,HYDROLASEINHIBITOR,N,0.213,0.244,N,40.14,N,Y,A,120,0,02-JAN-06,NA
2FKK,1.2,VIRALPROTEIN,N,0.120,0.136,Y,146.69,Y,Y,A,184,0,04-JAN-06,NA
2FMA,0.85,METALBINDINGPROTEIN,N,0.131,0.150,Y,29.35,N,Y,A,59,0,08-JAN-06,NA
2FN3,1,LYASE,N,0.128,NULL,Y,58.65,N,Y,A,524,0,10-JAN-06,NA
2FRG,1.2,IMMUNESYSTEM,N,0.177,0.191,N,34.45,N,Y,P,106,0,19-JAN-06,NA
2FVV,1.3,HYDROLASE,N,0.169,0.204,Y,104.93,N,Y,A,135,0,31-JAN-06,NA
2FVY,0.92,TRANSPORTPROTEIN,N,0.110,0.130,Y,65.24,Y,Y,A,305,0,31-JAN-06,NA
2FWH,0.99,OXIDOREDUCTASE,N,0.113,0.146,Y,42.1,N,Y,A,117,0,02-FEB-06,NA
2G2S,1.2,LUMINESCENTPROTEIN,N,NULL,0.174,Y,75.49,N,Y,A,228,0,16-FEB-06,NA
2G32,1.3,RNA,N,0.239,0.258,N,0,N,Y,NA,0,0,17-FEB-06,NA
2G3R,1.3,CELLCYCLE/TRANSCRIPTION,N,0.196,0.241,Y,41.17,N,Y,A,119,0,20-FEB-06,NA
2G58,0.98,HYDROLASE/HYDROLASEINHIBITOR,Y,0.133,0.157,Y,66.34,N,N,A,125,0,22-FEB-06,NA
2G6F,0.92,SIGNALINGPROTEIN,Y,0.185,0.199,Y,24.17,Y,Y,X,59,0,24-FEB-06,NA
2G7B,1.2,TRANSPORTPROTEIN,N,0.130,0.155,Y,36.13,N,Y,A,137,0,27-FEB-06,NA
2GKG,1,SIGNALINGPROTEIN,N,NULL,0.123,Y,66.51,N,Y,A,122,0,01-APR-06,NA
2GQ6,1.3,RNA,N,0.264,0.295,N,0,N,Y,NA,0,0,20-APR-06,NA
2GQT,1.3,OXIDOREDUCTASE,N,0.189,0.209,N,34.52,N,Y,A,267,0,21-APR-06,NA
2GXQ,1.2,HYDROLASE,Y,0.137,0.168,Y,38.62,N,Y,A,207,0,09-MAY-06,NA
2GZQ,1.3,LIPIDBINDINGPROTEIN,N,NULL,0.180,Y,46.83,N,Y,A,186,0,11-MAY-06,NA
2GZV,1.1,SIGNALINGPROTEIN,N,0.150,0.169,Y,33.49,N,Y,A,91,0,12-MAY-06,NA
2H1V,1.2,LYASE,N,0.130,0.173,Y,82.72,N,Y,A,309,0,17-MAY-06,NA
2H2T,1.3,IMMUNESYSTEM,N,0.170,0.200,Y,58.39,N,Y,NA,124,0,19-MAY-06,NA
2H5C,0.82,HYDROLASE,N,0.087,0.093,Y,40.86,Y,Y,A,171,0,25-MAY-06,NA
2H8E,1.2,HYDROLASE,N,0.183,0.191,Y,41.09,N,Y,A,120,0,07-JUN-06,NA
