PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,OCCUPANCY, BFACTOR ,HYDROGENS,STRUCFAC,CHAINS, RESIDUES , NUCLEOTIDES ,DATE,COMMENTS
3ZZO,1.1,IMMUNESYSTEM,N,0.13006,0.15129,Y, 32 ,N,Y,A, 93 , -   ,02-Sep-11,NA
4A56,1.2,PROTEINTRANSPORT,N,0.17406,0.18975,Y, 40 ,N,Y,A, 93 , -   ,24-Oct-11,NA
1FK5,1.3,LIPIDTRANSPORT,N,NULL,0.188,N, 59 ,N,Y,A, 93 , -   ,09-Aug-00,NA
1WRI,1.2,ELECTRONTRANSPORT,N,0.118,0.141,Y, 63 ,N,Y,A, 93 , -   ,18-Oct-04,NA
1CY5,1.3,APOPTOSIS,N,NULL,0.199,Y, 73 ,N,N,A, 93 , -   ,31-Aug-99,NA
6EEY,1.1,STRUCTURALPROTEIN,N,0.16,0.182,N, 38 ,Y,Y,A, 94 , -   ,15-Aug-18,NA
2FE5,1.1,STRUCTURALPROTEIN,N,0.115,0.15,Y, 40 ,N,Y,A, 94 , -   ,15-Dec-05,NA
6J6V,1.2,TRANSCRIPTION,N,0.134,0.151,Y, 80 ,N,Y,A, 94 , -   ,16-Jan-19,NA
2QSK,1,SUGARBINDINGPROTEIN,N,0.129,0.147,Y, 29 ,N,Y,A, 95 , -   ,31-Jul-07,NA
4ES1,1.1,HYDROLASE,N,0.158,0.164,Y, 42 ,Y,Y,A, 95 , -   ,21-Apr-12,NA
1XMT,1.1,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.149,0.17,Y, 51 ,N,Y,A, 95 , -   ,04-Oct-04,NA
6DGA,1.2,UNKNOWNFUNCTION,N,0.164,0.193,Y, 93 ,Y,Y,A, 95 , -   ,17-May-18,NA
1U2H,0.96,CONTRACTILEPROTEIN,N,0.161,0.172,Y, 23 ,N,Y,A, 96 , -   ,19-Jul-04,NA
1ZGX,1.1,HYDROLASE,N,0.129,0.164,Y, 34 ,N,Y,A, 96 , -   ,22-Apr-05,NA
6CBU,1.2,TRANSPORTPROTEIN,N,0.144,0.153,Y, 37 ,N,Y,A, 96 , -   ,05-Feb-18,NA
2WJ5,1.1,CHAPERONE,N,0.154,0.18,Y, 43 ,N,Y,A, 96 , -   ,22-May-09,NA
4XED,1.2,PROTEINBINDING,N,0.139,0.169,Y, 45 ,N,Y,A, 96 , -   ,23-Dec-14,NA
2O9U,1.1,PLANTPROTEIN,N,0.133,0.165,Y, 54 ,N,Y,X, 96 , -   ,14-Dec-06,NA
6N3D,1.1,PEPTIDEBINDINGPROTEIN,N,0.129,0.16,Y, 64 ,Y,Y,A, 96 , -   ,15-Nov-18,NA
6NFR,1,METALBINDINGPROTEIN,N,0.15,0.172,Y, 27 ,N,Y,A, 97 , -   ,20-Dec-18,NA
5IWH,1.1,HYDROLASE,N,0.14,0.169,Y, 33 ,N,Y,A, 97 , -   ,22-Mar-16,NA
1W2L,1.3,OXIDOREDUCTASE,N,0.142,0.17,N, 70 ,N,N,A, 97 , -   ,06-Jul-04,NA
5ILU,1.1,DNABINDINGPROTEIN,N,0.174,0.194,Y, 77 ,N,Y,A, 97 , -   ,04-Mar-16,NA
3WCQ,0.97,ELECTRONTRANSPORT,N,0.152,0.17,Y, 81 ,Y,Y,A, 97 , -   ,31-May-13,NA
6FMB,1.3,RNABINDINGPROTEIN,N,0.145,0.176,Y, 49 ,N,Y,A, 98 , -   ,30-Jan-18,NA
4CO8,1.1,TRANSCRIPTION,N,0.11727,0.13201,Y, 51 ,N,Y,A, 98 , -   ,27-Jan-14,NA
6ELM,1.1,STRUCTURALGENOMICS,N,0.14,0.168,Y, 61 ,Y,Y,A, 98 , -   ,29-Sep-17,NA
5DHD,1.3,HYDROLASE,N,0.195,0.195,Y, 70 ,N,Y,A, 98 , -   ,30-Aug-15,NA
3TEU,1,DENOVOPROTEIN,N,0.112,0.139,Y, 82 ,Y,Y,A, 98 , -   ,15-Aug-11,NA
3PUC,0.96,TRANSFERASE,N,0.116,0.135,Y, 104 ,Y,Y,A, 98 , -   ,04-Dec-10,NA
3K6I,1.1,CELLADHESION,N,0.143,0.158,N, 26 ,N,Y,A, 99 , -   ,08-Oct-09,NA
2CE0,1.2,ELECTRONTRANSFER,N,0.184,0.212,Y, 36 ,N,Y,A, 99 , -   ,01-Feb-06,NA
4DP9,1,ELECTRONTRANSPORT,N,0.122,0.144,Y, 38 ,N,Y,X, 99 , -   ,13-Feb-12,NA
6MM2,1,SIGNALINGPROTEIN,N,NULL,0.163,Y, 62 ,Y,Y,A, 99 , -   ,28-Sep-18,NA
4MJE,1.2,ELECTRONTRANSPORT,N,0.18,0.198,Y, 63 ,Y,Y,A, 99 , -   ,03-Sep-13,NA
2CCV,1.3,LECTIN,N,NULL,0.179,Y, 107 ,N,Y,A, 99 , -   ,18-Jan-06,NA
6O54,1.2,HYDROLASEVIRALPROTEIN,N,0.149,0.164,Y, 137 ,N,Y,X, 99 , -   ,01-Mar-19,NA
3KKF,1.3,OXIDOREDUCTASE,N,0.136,0.167,Y, 32 ,N,Y,A, 100 , -   ,05-Nov-09,NA
5B8D,1.1,HYDROLASE,N,0.129,0.146,Y, 33 ,N,Y,A, 100 , -   ,14-Jun-16,NA
3BZY,1.2,MEMBRANEPROTEINPROTEINTRANSPORT,N,0.144,0.178,Y, 38 ,N,Y,A, 100 , -   ,18-Jan-08,NA
2JLI,1.1,PROTEINTRANSPORT,N,0.164,0.168,Y, 45 ,Y,Y,A, 100 , -   ,09-Sep-08,NA
5II6,0.95,CELLADHESION,N,0.128,0.145,Y, 53 ,Y,Y,A, 100 , -   ,01-Mar-16,NA
3RHB,1.2,OXIDOREDUCTASE,N,0.15,0.176,Y, 56 ,N,Y,A, 100 , -   ,11-Apr-11,NA
3LNY,1.3,SIGNALINGPROTEIN/SIGNALINGPROTEIN,Y,0.164,0.189,Y, 374 ,Y,Y,A, 100 , -   ,03-Feb-10,NA
3NBM,1.3,TRANSFERASE,N,0.134,0.167,Y, 29 ,N,Y,A, 101 , -   ,03-Jun-10,NA
3UI4,0.8,ISOMERASE,N,0.095,0.098,Y, 30 ,Y,Y,A, 101 , -   ,04-Nov-11,NA
4BGC,1.2,TRANSPORTPROTEIN,N,0.16499,0.20463,Y, 43 ,N,Y,A, 101 , -   ,25-Mar-13,NA
6FGG,1.1,TRANSCRIPTION,Y,0.147,0.155,Y, 48 ,Y,Y,A, 101 , -   ,10-Jan-18,NA
4EIH,1.2,TRANSFERASE,N,0.161,0.181,Y, 56 ,N,Y,A, 101 , -   ,05-Apr-12,NA
5MR1,1.2,SIGNALINGPROTEIN,N,0.168,0.188,Y, 79 ,Y,Y,A, 101 , -   ,21-Dec-16,NA
4O06,1.1,CHAPERONE,N,0.173,0.194,Y, 39 ,N,Y,A, 102 , -   ,13-Dec-13,NA
5Z42,1.3,DNABINDINGPROTEIN,N,0.191,0.204,N, 49 ,N,Y,A, 102 , -   ,10-Jan-18,NA
5AOT,1,SUGARBINDINGPROTEN,N,0.165,0.17,Y, 52 ,N,Y,A, 102 , -   ,11-Sep-15,NA
6BQA,1,GENEREGULATION,Y,0.163,0.171,N, 54 ,N,Y,A, 102 , -   ,27-Nov-17,NA
5EMB,0.85,PROTEINTRANSPORT,N,0.124,0.136,Y, 121 ,N,Y,A, 102 , -   ,06-Nov-15,NA
3SNF,1.1,HYDROLASE,N,0.162,0.183,Y, 43 ,Y,Y,A, 103 , -   ,29-Jun-11,NA
5F68,1.2,CIRCADIANCLOCKPROTEIN,N,0.181,0.196,N, 50 ,N,Y,A, 103 , -   ,05-Dec-15,NA
4UU5,1.2,CELLADHESION,Y,0.169,0.183,Y, 52 ,N,Y,A, 103 , -   ,24-Jul-14,NA
5SV5,1,HYDROLASE,N,0.133,0.148,Y, 63 ,N,Y,A, 103 , -   ,04-Aug-16,NA
4XHV,1.2,SIGNALINGPROTEIN,N,0.139,0.162,Y, 37 ,Y,Y,A, 104 , -   ,06-Jan-15,NA
1I0V,1.2,HYDROLASE,Y,0.178,0.192,Y, 42 ,N,Y,A, 104 , -   ,30-Jan-01,NA
6GBI,1.3,STRUCTURALPROTEIN,N,0.162,0.165,Y, 57 ,N,Y,A, 104 , -   ,14-Apr-18,NA
5JDK,1,DNABINDINGPROTEIN,N,0.17,0.179,Y, 60 ,Y,Y,A, 104 , -   ,17-Apr-16,NA
6MYE,1.1,CELLADHESION,Y,0.198,0.205,Y, 63 ,N,Y,A, 104 , -   ,01-Nov-18,NA
4ITK,1.2,ELECTRONTRANSPORT,N,0.11,0.147,Y, 132 ,N,Y,A, 104 , -   ,18-Jan-13,NA
3DQY,1.2,OXIDOREDUCTASE,N,0.184,0.195,N, 23 ,N,Y,NA, 105 , -   ,10-Jul-08,NA
3L1E,1.1,CHAPERONE,N,0.166,0.193,Y, 33 ,N,Y,A, 105 , -   ,11-Dec-09,NA
1FUS,1.3,HYDROLASE(ENDORIBONUCLEASE),N,0.187,NULL,N, 36 ,N,N,A, 105 , -   ,18-Jan-93,NA
1V70,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.203,0.204,Y, 37 ,N,Y,A, 105 , -   ,05-Dec-03,NA
3F40,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.183,0.199,Y, 39 ,N,Y,A, 105 , -   ,31-Oct-08,NA
4GQM,1.3,UNKNOWNFUNCTION,N,0.159,0.173,Y, 44 ,N,Y,A, 105 , -   ,23-Aug-12,NA
2OV0,0.75,ELECTRONTRANSPORT,N,0.126,0.142,Y, 47 ,N,Y,A, 105 , -   ,12-Feb-07,NA
1M9Z,1.1,HORMONE/GROWTHFACTOR,N,0.156,0.166,Y, 47 ,N,N,A, 105 , -   ,30-Jul-02,NA
1TQG,0.98,TRANSFERASE,N,0.18,0.211,Y, 75 ,Y,N,A, 105 , -   ,17-Jun-04,NA
4JIU,1.1,HYDROLASE,N,0.147,0.192,Y, 88 ,N,Y,A, 105 , -   ,07-Mar-13,NA
6TGK,1.3,LIGASE,N,0.18,0.207,Y, 103 ,N,Y,C, 105 , -   ,16-Nov-19,NA
2FRG,1.2,IMMUNESYSTEM,N,0.177,0.191,N, 34 ,N,Y,P, 106 , -   ,19-Jan-06,NA
4BFO,1.2,HYDROLASE,N,0.1571,0.1693,N, 45 ,N,Y,A, 106 , -   ,21-Mar-13,NA
5NSA,1.3,TRANSPORTPROTEIN,N,0.146,0.179,Y, 50 ,Y,Y,A, 106 , -   ,25-Apr-17,NA
4MZC,0.95,OXIDOREDUCTASE,N,0.104,0.111,Y, 105 ,Y,Y,A, 106 , -   ,30-Sep-13,NA
7FD1,1.3,ELECTRONTRANSPORT,N,NULL,NULL,Y, 127 ,Y,N,A, 106 , -   ,11-Dec-98,NA
4RQR,1.1,ELECTRONTRANSPORT,N,0.173,0.195,Y, 24 ,N,Y,A, 107 , -   ,04-Nov-14,NA
4NOA,1.3,UNKNOWNFUNCTION,N,0.16,0.175,Y, 27 ,N,Y,A, 107 , -   ,19-Nov-13,NA
3S8S,1.3,TRANSCRIPTION,N,0.17,0.198,Y, 30 ,N,Y,A, 107 , -   ,30-May-11,NA
4HUA,1.1,OXIDOREDUCTASE,N,0.16,0.172,Y, 32 ,N,Y,A, 107 , -   ,02-Nov-12,NA
2PVB,0.91,METALBINDINGPROTEIN,N,0.11,0.132,Y, 35 ,N,Y,A, 107 , -   ,02-Oct-98,NA
2PPN,0.92,ISOMERASE,N,0.213,0.199,Y, 39 ,N,Y,A, 107 , -   ,30-Apr-07,NA
2I4A,1,OXIDOREDUCTASE,N,0.135,0.158,Y, 39 ,N,Y,A, 107 , -   ,21-Aug-06,NA
1GMX,1.1,TRANSFERASE,N,0.128,0.151,Y, 49 ,N,Y,A, 107 , -   ,25-Sep-01,NA
4ZHB,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.128,0.159,Y, 54 ,N,Y,A, 107 , -   ,24-Apr-15,NA
6SA5,1.3,IMMUNESYSTEM,N,0.156,0.188,Y, 58 ,Y,Y,A, 107 , -   ,16-Jul-19,NA
3CX2,1.3,CONTRACTILEPROTEIN,N,NULL,0.209,Y, 67 ,N,Y,A, 107 , -   ,23-Apr-08,NA
5N13,1.2,TRANSCRIPTION,N,0.143,0.156,N, 33 ,N,Y,A, 108 , -   ,04-Feb-17,NA
1RRO,1.3,CALCIUM-BINDINGPROTEIN,N,0.176,NULL,N, 37 ,N,Y,A, 108 , -   ,27-Aug-92,NA
6MWS,1.2,OXIDOREDUCTASE,N,0.149,0.172,Y, 45 ,N,Y,A, 108 , -   ,30-Oct-18,NA
1J0P,0.91,ELECTRONTRANSPORT,N,0.106,0.136,N, 46 ,N,N,A, 108 , -   ,19-Nov-02,NA
2I1U,1.3,ELECTRONTRANSPORT,N,0.214,0.24,Y, 49 ,N,Y,A, 108 , -   ,15-Aug-06,NA
4WXT,1.2,HYDROLASE,N,0.158,0.177,Y, 53 ,N,Y,A, 108 , -   ,14-Nov-14,NA
1LKK,1,COMPLEX(TYROSINEKINASE/PEPTIDE),Y,NULL,NULL,Y, 53 ,Y,N,A, 108 , -   ,10-Nov-95,NA
1BKR,1.1,ACTIN-BINDING,N,NULL,0.187,Y, 92 ,N,Y,A, 108 , -   ,10-Jul-98,NA
2XFD,1.2,SUGARBINDINGPROTEIN,Y,0.11854,0.14795,Y, 25 ,N,Y,A, 109 , -   ,21-May-10,NA
2J6B,1.3,VIRALPROTEIN,N,0.161,0.192,Y, 26 ,N,Y,A, 109 , -   ,27-Sep-06,NA
4I2U,1.3,OXIDOREDUCTASE,N,0.142,0.166,Y, 50 ,Y,Y,A, 109 , -   ,23-Nov-12,NA
4DPZ,1.3,TRANSFERASE,N,0.151,0.179,Y, 91 ,N,Y,X, 109 , -   ,14-Feb-12,NA
2IAY,1.2,TRANSLATION,N,0.121,0.147,Y, 33 ,N,Y,A, 110 , -   ,08-Sep-06,NA
2XKI,1.3,OXYGENSTORAGE,N,0.147,0.177,Y, 42 ,N,Y,A, 110 , -   ,08-Jul-10,NA
4AFF,1.1,SIGNALINGPROTEIN,Y,0.13,0.14,Y, 45 ,N,Y,A, 110 , -   ,19-Jan-12,NA
6Q6T,0.94,ELECTRONTRANSPORT,N,0.158,0.166,Y, 45 ,Y,Y,A, 110 , -   ,11-Dec-18,NA
5OHQ,1.1,TRANSCRIPTION,N,0.123,0.14,Y, 57 ,Y,Y,A, 110 , -   ,17-Jul-17,NA
2WWE,1.3,TRANSFERASE,N,0.166,0.184,Y, 32 ,N,Y,A, 111 , -   ,22-Oct-09,NA
1RW1,1,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.129,0.139,Y, 42 ,Y,Y,A, 111 , -   ,15-Dec-03,NA
6J2M,1.1,ISOMERASE,N,0.126,0.145,Y, 46 ,N,Y,A, 111 , -   ,01-Jan-19,NA
5YDE,1,TRANSCRIPTION,N,0.12,0.139,Y, 46 ,Y,Y,A, 111 , -   ,13-Sep-17,NA
1QAU,1.3,OXIDOREDUCTASE,N,0.239,0.255,N, 27 ,N,N,A, 112 , -   ,29-Mar-99,NA
3B64,1,CYTOKINE,N,0.139,0.157,Y, 57 ,N,Y,NA, 112 , -   ,27-Oct-07,NA
6UMU,1.2,IMMUNESYSTEM,N,0.154,0.164,Y, 69 ,N,Y,A, 112 , -   ,10-Oct-19,NA
2CHH,1,LECTIN,N,0.1,0.11,Y, 34 ,N,Y,A, 113 , -   ,15-Mar-06,NA
5AUL,1.1,SIGNALINGPROTEIN,Y,0.139,0.16,Y, 47 ,N,Y,A, 113 , -   ,28-Apr-15,NA
5K34,1.1,PROTEINBINDING,N,0.174,0.191,Y, 58 ,N,Y,A, 113 , -   ,19-May-16,NA
1I8O,1.1,ELECTRONTRANSPORT,Y,0.14,0.162,Y, 61 ,N,Y,A, 113 , -   ,15-Mar-01,NA
4B50,1.3,IMMUNESYSTEM,N,0.1468,0.17963,Y, 62 ,N,Y,A, 113 , -   ,02-Aug-12,NA
5HUA,1.3,ISOMERASE,Y,0.154,0.164,N, 80 ,Y,Y,A, 113 , -   ,27-Jan-16,NA
5FAF,1.1,STRUCTURALPROTEIN,N,0.132,0.168,Y, 191 ,N,Y,A, 113 , -   ,11-Dec-15,NA
3AGN,0.96,HYDROLASE,Y,0.118,0.127,Y, 18 ,N,Y,A, 114 , -   ,03-Apr-10,NA
5GJI,0.9,SIGNALINGPROTEIN,Y,0.127,0.145,Y, 25 ,N,Y,A, 114 , -   ,30-Jun-16,NA
6UOF,1.2,TRANSCRIPTION,N,0.168,0.186,Y, 43 ,N,Y,A, 114 , -   ,14-Oct-19,NA
3UE2,1.2,RNABINDINGPROTEIN,N,0.136,0.16,Y, 60 ,N,Y,A, 114 , -   ,28-Oct-11,NA
5MWZ,1.3,DNABINDINGPROTEIN,Y,0.165,0.181,Y, 62 ,N,Y,A, 114 , -   ,20-Jan-17,NA
1SAU,1.1,OXIDOREDUCTASE,N,0.109,0.137,Y, 78 ,N,Y,A, 114 , -   ,09-Feb-04,NA
5U64,1.2,IMMUNESYSTEM,N,0.147,0.17,Y, 94 ,Y,Y,B, 114 , -   ,07-Dec-16,NA
2O7A,0.84,HYDROLASE,N,NULL,0.108,Y, 38 ,N,Y,A, 115 , -   ,10-Dec-06,NA
2JLJ,1.3,PROTEINTRANSPORT,N,0.22,0.248,Y, 42 ,N,Y,A, 115 , -   ,09-Sep-08,NA
5IG6,0.91,TRANSCRIPTION,N,0.126,0.143,Y, 56 ,N,Y,A, 115 , -   ,27-Feb-16,NA
6GPU,1.2,FLAVOPROTEIN,N,0.134,0.164,Y, 60 ,N,Y,A, 115 , -   ,07-Jun-18,NA
1D4T,1.1,SIGNALINGPROTEIN,Y,0.127,0.165,Y, 68 ,N,Y,A, 115 , -   ,06-Oct-99,NA
5DIC,1.2,ODORANT-BINDINGPROTEIN,N,0.133,0.168,N, 68 ,N,Y,A, 115 , -   ,31-Aug-15,NA
2O90,1.1,LYASE,N,0.131,0.15,Y, 69 ,N,Y,A, 115 , -   ,12-Dec-06,NA
5BY5,1.2,LYASE,N,0.125,0.149,Y, 122 ,N,Y,A, 115 , -   ,10-Jun-15,NA
4O36,1.2,HYDROLASE,N,0.185,0.226,Y, 139 ,N,Y,A, 115 , -   ,18-Dec-13,NA
1ZMA,1.3,TRANSPORTPROTEIN,N,0.131,0.167,Y, 23 ,N,Y,A, 116 , -   ,10-May-05,NA
6CNW,0.92,IMMUNESYSTEM,N,0.126,0.139,Y, 33 ,Y,Y,A, 116 , -   ,09-Mar-18,NA
6APO,1.2,IMMUNESYSTEM,N,0.149,0.173,Y, 36 ,N,Y,A, 116 , -   ,17-Aug-17,NA
4YTK,1.1,TRANSCRIPTION,N,0.183,0.199,Y, 38 ,N,Y,A, 116 , -   ,17-Mar-15,NA
5B1R,1.2,IMMUNESYSTEM,N,0.129,0.148,Y, 75 ,N,Y,A, 116 , -   ,15-Dec-15,NA
3CP5,1.2,ELECTRONTRANSPORT,N,0.13,0.174,Y, 76 ,N,Y,A, 116 , -   ,31-Mar-08,NA
6HQC,1.3,PROTEINFIBRIL,N,0.15,0.197,Y, 100 ,N,Y,A, 116 , -   ,24-Sep-18,NA
6RYG,0.97,IMMUNESYSTEM,N,0.135,0.139,Y, 111 ,N,Y,A, 116 , -   ,10-Jun-19,NA
4RLE,1.3,UNKNOWNFUNCTION,N,0.131,0.155,Y, 326 ,N,Y,A, 116 , -   ,16-Oct-14,NA
2FWH,0.99,OXIDOREDUCTASE,N,0.113,0.146,Y, 42 ,N,Y,A, 117 , -   ,02-Feb-06,NA
6B26,1.2,PROTEINBINDING,N,0.153,0.169,Y, 48 ,N,Y,A, 117 , -   ,19-Sep-17,NA
3EY6,1.1,ISOMERASE,N,0.136,0.161,Y, 23 ,N,Y,A, 118 , -   ,19-Oct-08,NA
3D1P,0.98,TRANSFERASE,N,0.109,0.124,Y, 25 ,N,Y,A, 118 , -   ,06-May-08,NA
5FG6,1.1,TRANSCRIPTION,Y,0.182,0.197,Y, 31 ,N,Y,A, 118 , -   ,20-Dec-15,NA
1WN2,1.2,HYDROLASE,N,0.193,0.215,Y, 41 ,N,Y,A, 118 , -   ,26-Jul-04,NA
5JIG,1,HYDROLASE,N,0.143,0.167,Y, 41 ,Y,Y,NA, 118 , -   ,22-Apr-16,NA
2MHR,1.3,OXYGENBINDING,N,0.158,NULL,Y, 56 ,Y,Y,A, 118 , -   ,20-Apr-87,NA
1UNQ,0.98,TRANSFERASE,N,0.151,0.179,Y, 59 ,N,Y,A, 118 , -   ,12-Sep-03,NA
5NYK,1.1,OXIDOREDUCTASE,N,0.155,0.162,Y, 62 ,Y,Y,A, 118 , -   ,11-May-17,NA
4TKC,1.3,SUGARBINDINGPROTEIN,Y,0.162,0.207,N, 72 ,N,Y,A, 118 , -   ,26-May-14,NA
2XOD,0.96,FLAVOPROTEIN,N,NULL,0.151,Y, 80 ,N,Y,A, 118 , -   ,14-Aug-10,NA
3P4H,1.1,HYDROLASE,N,0.135,0.165,Y, 83 ,Y,Y,A, 118 , -   ,06-Oct-10,NA
5NLU,1.2,IMMUNESYSTEM,N,0.177,0.198,Y, 91 ,Y,Y,A, 118 , -   ,05-Apr-17,NA
3S0A,1.1,TRANSPORTPROTEIN,N,0.156,0.178,Y, 30 ,N,Y,A, 119 , -   ,13-May-11,NA
2ICC,1.2,IMMUNESYSTEM,N,0.135,0.172,N, 34 ,N,Y,A, 119 , -   ,12-Sep-06,NA
2PND,1,IMMUNESYSTEM,N,0.123,0.142,N, 38 ,N,Y,A, 119 , -   ,24-Apr-07,NA
6CKP,1.1,ELECTRONTRANSPORT,N,0.142,0.161,Y, 39 ,N,Y,A, 119 , -   ,28-Feb-18,NA
2G3R,1.3,CELLCYCLE/TRANSCRIPTION,N,0.196,0.241,Y, 41 ,N,Y,A, 119 , -   ,20-Feb-06,NA
6Q1M,1.2,REPLICATION,N,0.158,0.166,Y, 47 ,N,Y,A, 119 , -   ,05-Aug-19,NA
1W0N,0.8,HYDROLASE,Y,0.129,0.144,Y, 35 ,N,Y,A, 120 , -   ,09-Jun-04,NA
2FJ8,1.2,HYDROLASEINHIBITOR,N,0.213,0.244,N, 40 ,N,Y,A, 120 , -   ,02-Jan-06,NA
2H8E,1.2,HYDROLASE,N,0.183,0.191,Y, 41 ,N,Y,A, 120 , -   ,07-Jun-06,NA
3TPK,1.3,IMMUNESYSTEM,N,0.143,0.176,Y, 49 ,N,Y,A, 120 , -   ,08-Sep-11,NA
1X6Z,0.78,STRUCTURALPROTEIN,N,0.143,0.153,Y, 69 ,Y,Y,A, 120 , -   ,12-Aug-04,NA
3WUZ,1.3,MEMBRANEPROTEIN,N,0.146,0.178,Y, 94 ,N,Y,A, 120 , -   ,10-May-14,NA
3T3L,1.1,OXIDOREDUCTASE,N,0.167,0.179,Y, 40 ,N,Y,A, 121 , -   ,25-Jul-11,NA
1UFY,0.96,ISOMERASE,N,0.11,0.127,Y, 49 ,N,Y,A, 121 , -   ,11-Jun-03,NA
2YH5,1.3,LIPIDBINDINGPROTEIN,N,0.14828,0.18387,Y, 52 ,N,Y,A, 121 , -   ,27-Apr-11,NA
6EKG,1.1,METALBINDINGPROTEIN,N,0.155,0.172,Y, 61 ,N,Y,Y, 121 , -   ,26-Sep-17,NA
6JPT,0.96,CHAPERONE,N,0.136,0.146,Y, 76 ,Y,Y,A, 121 , -   ,27-Mar-19,NA
4JP6,1,UNKNOWNFUNCTION,N,0.154,0.181,N, 130 ,N,Y,A, 121 , -   ,19-Mar-13,NA
3FSA,0.98,METALBINDINGPROTEIN,N,0.121,0.135,Y, 26 ,N,Y,A, 122 , -   ,09-Jan-09,NA
2WRA,1.1,SUGARBINDINGPROTEIN,Y,0.14499,0.173,Y, 31 ,N,Y,A, 122 , -   ,01-Sep-09,NA
1ZLB,0.97,HYDROLASE,N,0.151,0.196,Y, 46 ,N,Y,A, 122 , -   ,05-May-05,NA
3R72,1.1,TRANSPORTPROTEIN,N,0.153,0.173,Y, 46 ,Y,Y,A, 122 , -   ,22-Mar-11,NA
1MC2,0.85,TOXIN,N,0.104,0.121,Y, 57 ,N,Y,A, 122 , -   ,05-Aug-02,NA
4RVQ,1.1,PROTEINBINDING,N,0.125,0.146,Y, 59 ,Y,Y,A, 122 , -   ,27-Nov-14,NA
2GKG,1,SIGNALINGPROTEIN,N,NULL,0.123,Y, 67 ,N,Y,A, 122 , -   ,01-Apr-06,NA
5AR6,1.3,HYDROLASE,N,0.12613,0.15272,Y, 72 ,N,Y,A, 122 , -   ,24-Sep-15,NA
1R29,1.3,TRANSCRIPTION,N,0.131,0.173,Y, 82 ,N,Y,A, 122 , -   ,26-Sep-03,NA
2Y78,0.91,ISOMERASE,N,0.1097,0.1161,Y, 82 ,Y,Y,A, 122 , -   ,28-Jan-11,NA
1LWB,1.1,HYDROLASE,N,0.103,0.137,Y, 85 ,Y,N,A, 122 , -   ,31-May-02,NA
1PWA,1.3,HORMONE/GROWTHFACTOR,N,0.181,0.195,Y, 34 ,N,Y,A, 123 , -   ,01-Jul-03,NA
4AOH,1,HYDROLASE,N,0.1698,0.1879,Y, 37 ,N,Y,A, 123 , -   ,27-Mar-12,NA
3I2V,1.3,TRANSFERASE,N,0.161,0.204,Y, 40 ,N,Y,A, 123 , -   ,29-Jun-09,NA
3U99,1.1,ELECTRONTRANSPORT,N,0.138,0.154,Y, 59 ,Y,Y,A, 123 , -   ,18-Oct-11,NA
4O0A,1.2,DNABINDINGPROTEIN/INHIBITOR,N,0.164,0.176,Y, 70 ,Y,Y,A, 123 , -   ,13-Dec-13,NA
1B9O,1.1,CALCIUM-BINDINGPROTEIN,N,0.119,0.162,Y, 75 ,N,Y,A, 123 , -   ,14-Feb-99,NA
5O5S,1.2,CHAPERONE,N,0.155,0.176,Y, 77 ,N,Y,A, 123 , -   ,02-Jun-17,NA
1VL9,0.97,HYDROLASE,N,NULL,0.134,Y, 78 ,N,Y,A, 123 , -   ,15-Jul-04,NA
5OXZ,1.2,SPLICING,Y,0.138,0.156,Y, 84 ,N,Y,A, 123 , -   ,07-Sep-17,NA
6EF7,1,SUGARBINDINGPROTEIN,N,0.126,0.141,Y, 42 ,Y,Y,A, 124 , -   ,16-Aug-18,NA
5TQJ,1.3,SIGNALINGPROTEIN,N,0.141,0.172,Y, 48 ,N,Y,A, 124 , -   ,24-Oct-16,NA
5OD4,1.1,UNKNOWNFUNCTION,N,0.14,0.169,Y, 58 ,N,Y,A, 124 , -   ,04-Jul-17,NA
2H2T,1.3,IMMUNESYSTEM,N,0.17,0.2,Y, 58 ,N,Y,NA, 124 , -   ,19-May-06,NA
3G0K,1.3,CA-BINDINGPROTEIN,N,0.121,0.143,Y, 61 ,N,Y,A, 124 , -   ,28-Jan-09,NA
6ETL,0.85,HYDROLASE,N,NULL,0.122,Y, 113 ,Y,Y,A, 124 , -   ,27-Oct-17,NA
6RU3,1.3,IMMUNESYSTEM,N,0.189,0.204,Y, 136 ,Y,Y,C, 124 , -   ,27-May-19,NA
5ZRC,1.1,HYDROLASE,N,0.144,0.172,Y, 218 ,N,Y,A, 124 , -   ,24-Apr-18,NA
3M1X,1.2,UNKNOWNFUNCTION,N,0.107,0.131,Y, 37 ,N,Y,A, 125 , -   ,05-Mar-10,NA
4AFM,1.3,HYDROLASE,N,0.159,0.173,Y, 47 ,N,Y,A, 125 , -   ,19-Jan-12,NA
3JQL,1.2,HYDROLASE,Y,0.187,0.193,N, 58 ,N,Y,A, 125 , -   ,07-Sep-09,NA
5HB7,0.82,TRANSPORTPROTEIN,N,0.119,0.132,Y, 62 ,Y,Y,A, 125 , -   ,31-Dec-15,NA
