PDB,RES,CLASS,COMPLEX,RVALUE,RFREE,STRUCFAC,CHAINS,DATE,COMMENTS
2NT3,1.3,SIGNALINGPROTEIN,N,0.134,0.162,Y,A,06-NOV-06,NA
2NT4,1,SIGNALINGPROTEIN,N,0.124,0.154,Y,A,06-NOV-06,NA
2NUI,1.1,HYDROLASE,N,0.178,0.193,Y,A,09-NOV-06,NA
2NUK,1.2,OXIDOREDUCTASE,N,0.120,0.136,Y,A,09-NOV-06,NA
2NWD,1,HYDROLASE,N,0.134,0.152,Y,X,14-NOV-06,NA
2NWF,1.1,OXIDOREDUCTASE,N,0.125,0.138,Y,A,14-NOV-06,NA
2NXT,1.1,LYASE,N,NULL,0.186,Y,A,19-NOV-06,NA
2NXV,1.1,TRANSFERASE,N,0.138,0.155,Y,AB,20-NOV-06,NA
2NYB,1.1,OXIDOREDUCTASE,N,0.160,0.174,Y,ABCD,20-NOV-06,NA
2O0B,1.1,TRANSFERASE,Y,0.128,0.154,Y,A,27-NOV-06,NA
2O1I,1.1,DNA,Y,0.151,0.204,Y,A,28-NOV-06,NA
2O23,1.2,OXIDOREDUCTASE,N,0.123,0.154,Y,AB,29-NOV-06,NA
2O5G,1.1,METALBINDINGPROTEIN,Y,0.144,0.165,Y,A,05-DEC-06,NA
2O6N,1.1,DENOVOPROTEIN,N,0.116,0.132,Y,A,07-DEC-06,NA
2O7A,0.84,HYDROLASE,N,NULL,0.108,Y,A,10-DEC-06,NA
2O90,1.1,LYASE,N,0.131,0.150,Y,A,12-DEC-06,NA
2O9S,0.83,SIGNALINGPROTEIN,N,0.105,0.121,Y,A,14-DEC-06,NA
2O9U,1.1,PLANTPROTEIN,N,0.133,0.165,Y,X,14-DEC-06,NA
2OB3,1,HYDROLASE,N,NULL,0.127,Y,AB,18-DEC-06,NA
2OBZ,1.1,DNA,N,0.202,0.213,Y,AB,20-DEC-06,NA
2OF8,1.1,LIGANDBINDINGPROTEIN,Y,0.164,0.177,Y,AB,03-JAN-07,NA
2OFB,1.2,LIGANDBINDINGPROTEIN,Y,0.177,0.187,Y,AB,03-JAN-07,NA
2OFC,1.1,SUGARBINDINGPROTEIN,N,0.120,0.133,N,AB,03-JAN-07,NA
2OFR,1,TRANSPORTPROTEIN,N,0.127,0.148,Y,X,04-JAN-07,NA
2OFZ,1.2,VIRALPROTEIN,N,0.164,0.191,Y,A,04-JAN-07,NA
2OIZ,1.1,OXIDOREDUCTASE,N,0.118,0.141,Y,DH,12-JAN-07,NA
2OKT,1.3,LYASE,N,0.139,0.181,Y,A,17-JAN-07,NA
2OL9,0.85,PROTEINFIBRIL,N,0.073,0.078,Y,A,18-JAN-07,NA
2OLN,1.1,OXIDOREDUCTASE,N,0.124,0.149,Y,A,19-JAN-07,NA
2OML,1.2,ISOMERASE,N,0.152,0.179,Y,A,22-JAN-07,NA
2OS0,1.3,HYDROLASE,N,0.195,0.207,Y,A,05-FEB-07,NA
2OSX,1.1,HYDROLASE,Y,0.122,0.139,Y,A,06-FEB-07,NA
2OV0,0.75,ELECTRONTRANSPORT,N,0.126,0.142,Y,A,12-FEB-07,NA
2OW6,1.2,HYDROLASE,Y,NULL,0.150,Y,A,15-FEB-07,NA
2OXC,1.3,HYDROLASE,Y,0.154,0.175,Y,AB,20-FEB-07,NA
2OYB,1.3,MEMBRANEPROTEIN,N,0.157,0.188,Y,O,21-FEB-07,NA
2P2S,1.3,OXIDOREDUCTASE,N,0.157,0.179,Y,AB,07-MAR-07,NA
2P4T,1.1,OXIDOREDUCTASE,N,0.193,0.215,Y,A,13-MAR-07,NA
2P5K,1,DNABINDINGPROTEIN,N,0.139,0.160,Y,A,15-MAR-07,NA
2P74,0.88,HYDROLASE,N,0.100,0.114,Y,AB,19-MAR-07,NA
2P86,1.2,HYDROLASE,N,0.111,0.130,Y,A,21-MAR-07,NA
2PC1,1.3,TRANSFERASE,N,0.167,0.178,Y,A,29-MAR-07,NA
2PGN,1.2,HYDROLASE,N,0.150,0.176,Y,AB,10-APR-07,NA
2PND,1,IMMUNESYSTEM,N,0.123,0.142,Y,A,24-APR-07,NA
2PNE,0.98,ANTIFREEZEPROTEIN,N,0.141,0.164,Y,A,24-APR-07,NA
2PPN,0.92,ISOMERASE,N,0.213,0.199,Y,A,30-APR-07,NA
2PPO,1.3,LYASE,N,0.189,0.182,Y,A,30-APR-07,NA
2PPP,0.94,LYASE,N,0.203,0.220,Y,A,30-APR-07,NA
2PQ3,1.3,METALBINDINGPROTEIN,N,0.143,0.192,Y,A,01-MAY-07,NA
2PRV,1.3,BIOSYNTHETICPROTEIN,N,0.137,0.175,Y,AB,04-MAY-07,NA
2PTH,1.2,HYDROLASE,N,0.196,0.215,N,A,25-MAR-97,NA
2PV2,1.3,ISOMERASE,N,0.208,0.227,Y,ABCD,09-MAY-07,NA
2PVB,0.91,METALBINDINGPROTEIN,N,0.110,0.132,Y,A,02-OCT-98,NA
2PVE,0.79,ELECTRONTRANSPORT,N,0.112,0.125,Y,ABC,09-MAY-07,NA
2PVX,1,ELECTRONTRANSPORT,N,0.139,0.180,Y,ABCDEFGH,10-MAY-07,NA
2PWA,0.83,HYDROLASE,Y,0.120,0.136,Y,A,11-MAY-07,NA
2PXX,1.3,TRANSFERASE,N,NULL,0.226,Y,A,14-MAY-07,NA
2PYA,0.86,ELECTRONTRANSPORT,N,0.098,0.105,Y,A,16-MAY-07,NA
2Q1O,1.1,RNA,N,0.114,0.142,Y,NA,25-MAY-07,NA
2Q1R,1.1,RNA,N,0.149,0.182,Y,NA,25-MAY-07,NA
2Q20,1.3,PROTEINFIBRIL,N,0.120,0.148,Y,AB,25-MAY-07,NA
2Q3G,1.1,STRUCTURALGENOMICS,N,0.133,0.157,Y,AB,30-MAY-07,NA
2Q9O,1.3,OXIDOREDUCTASE,N,0.167,0.212,Y,AB,13-JUN-07,NA
2QA9,1.2,HYDROLASE,N,0.147,0.182,Y,E,14-JUN-07,NA
2QCI,1.2,HYDROLASE,N,0.161,0.196,Y,AB,19-JUN-07,NA
2QCP,1,METALBINDINGPROTEIN,N,0.160,0.186,Y,X,19-JUN-07,NA
2QDV,0.89,ELECTRONTRANSPORT,N,0.111,0.135,Y,A,21-JUN-07,NA
2QET,1.2,HYDROLASE,N,NULL,0.155,Y,A,26-JUN-07,NA
2QF4,1.2,STRUCTURALPROTEIN,N,0.145,0.167,Y,AB,26-JUN-07,NA
2QJZ,1.3,PROTEINBINDING,N,0.177,0.198,Y,AB,09-JUL-07,NA
2QMT,1.1,IMMUNESYSTEM,N,0.185,0.207,Y,A,16-JUL-07,NA
2QOC,1.3,TRANSFERASE,N,0.170,0.186,Y,A,20-JUL-07,NA
2QOD,1.1,TRANSFERASE,N,0.193,0.206,Y,A,20-JUL-07,NA
2QOF,1.2,TRANSFERASE,N,0.182,0.195,Y,A,20-JUL-07,NA
2QOI,1.3,TRANSFERASE,N,0.186,0.192,Y,A,20-JUL-07,NA
2QOK,1.2,TRANSFERASE,N,0.192,0.212,Y,A,20-JUL-07,NA
2QOL,1.1,TRANSFERASE,N,0.196,0.211,Y,A,20-JUL-07,NA
2QOO,1.3,TRANSFERASE,N,0.190,0.202,Y,A,20-JUL-07,NA
2QSB,1.3,STRUCTURALGENOMICSUNKNOWNFUNCTION,N,0.149,0.178,Y,A,30-JUL-07,NA
2QSK,1,SUGARBINDINGPROTEIN,N,0.129,0.147,Y,A,31-JUL-07,NA
2QT7,1.3,HYDROLASE,N,0.222,0.242,Y,AB,01-AUG-07,NA
2QVB,1.2,HYDROLASE,N,NULL,0.160,Y,AB,08-AUG-07,NA
2QXI,1,HYDROLASE,Y,0.141,0.159,Y,A,11-AUG-07,NA
2QZ0,1.2,FLUORESCENTPROTEIN,N,0.170,0.170,Y,A,15-AUG-07,NA
2R01,1.1,OXIDOREDUCTASE,N,0.149,0.165,Y,A,17-AUG-07,NA
2R0X,1.1,OXIDOREDUCTASE,N,0.143,0.170,Y,A,21-AUG-07,NA
2R16,1,CELLADHESIONSPLICING,N,0.148,0.165,Y,A,22-AUG-07,NA
2R20,1.3,RNA,N,0.181,0.195,Y,NA,24-AUG-07,NA
2R2Z,1.2,TOXIN,N,0.155,0.171,Y,A,28-AUG-07,NA
2R31,1,CHAPERONE,N,NULL,0.143,Y,A,28-AUG-07,NA
2R5O,1.3,TRANSPORTPROTEIN,N,0.167,0.182,Y,AB,04-SEP-07,NA
2R6V,1.3,FLAVOPROTEIN,N,0.128,0.154,Y,A,06-SEP-07,NA
2R8N,1.2,HYDROLASE,N,NULL,0.178,Y,A,11-SEP-07,NA
2RAV,1.1,UNKNOWNFUNCTION,N,0.117,0.149,Y,A,17-SEP-07,NA
2RBK,1,UNKNOWNFUNCTION,N,0.123,0.148,Y,A,19-SEP-07,NA
2RBN,1.3,HYDROLASE,Y,0.179,0.191,Y,A,19-SEP-07,NA
2RBT,1.2,OXIDOREDUCTASE,Y,0.123,0.146,Y,X,19-SEP-07,NA
2RE2,1.3,OXIDOREDUCTASE,N,0.162,0.179,Y,AB,25-SEP-07,NA
2RFR,1.2,UNKNOWNFUNCTION,N,0.142,0.172,Y,A,01-OCT-07,NA
2RH2,0.96,OXIDOREDUCTASE,N,0.104,0.117,Y,A,05-OCT-07,NA
2RHF,1.1,HYDROLASE,N,0.178,0.194,Y,A,09-OCT-07,NA
2RIL,1.3,OXIDOREDUCTASE,N,0.141,0.162,Y,A,11-OCT-07,NA
2RK3,1.1,CHAPERONE,N,0.133,0.150,Y,A,16-OCT-07,NA
2RK4,1.1,CHAPERONE,N,0.129,0.156,Y,A,16-OCT-07,NA
2RK6,1.1,CHAPERONE,N,0.150,0.175,Y,A,16-OCT-07,NA
2SN3,1.2,TOXIN,N,0.192,NULL,N,A,20-FEB-92,NA
2TPS,1.3,THIAMINBIOSYNTHESIS,N,0.181,0.222,Y,AB,09-MAR-99,NA
2UU8,0.94,LECTIN,N,NULL,0.142,Y,A,01-MAR-07,NA
2UX6,1.3,ELECTRONTRANSPORT,N,0.195,0.226,Y,A,27-MAR-07,NA
2UXY,1.3,HYDROLASE,N,0.111,0.136,Y,A,02-APR-07,NA
2V1M,1,OXIDOREDUCTASE,N,0.176,0.184,Y,A,16-SEP-08,NA
2V1Q,1.2,STRUCTURALPROTEIN,N,0.151,0.188,Y,AB,29-MAY-07,NA
2V2H,1.2,ISOMERASE,N,NULL,0.187,Y,ABC,06-JUN-07,NA
2V2P,1.1,METALTRANSPORT,N,0.201,0.224,Y,A,06-JUN-07,NA
2V3G,1.2,HYDROLASE,Y,0.117,0.144,Y,A,18-JUN-07,NA
2V3I,1.1,HYDROLASE,Y,0.120,0.140,Y,A,18-JUN-07,NA
2V6K,1.3,ISOMERASE,N,0.151,0.165,Y,AB,19-JUL-07,NA
2V7F,1.1,RIBOSOMALPROTEIN,N,0.138,0.155,Y,A,30-JUL-07,NA
2V7R,1.2,RNA,N,0.188,0.208,Y,A,01-AUG-07,NA
2V89,1.1,PROTEINBINDING,Y,NULL,0.155,Y,AB,03-AUG-07,NA
2V8F,1.1,PROTEIN-BINDING,Y,NULL,0.173,Y,AB,07-AUG-07,NA
2V8T,0.98,OXIDOREDUCTASE,Y,0.101,0.117,Y,AB,14-AUG-07,NA
2V9B,1.1,TOXIN,N,0.128,0.170,Y,AB,23-AUG-07,NA
2V9L,1.2,LYASE,N,0.091,0.122,Y,A,24-AUG-07,NA
2V9M,1.3,LYASE,N,0.104,0.141,Y,AB,24-AUG-07,NA
2V9V,1.1,TRANSCRIPTION,N,0.121,0.141,Y,A,27-AUG-07,NA
2VB1,0.65,HYDROLASE,N,0.084,0.095,Y,A,05-SEP-07,NA
2VBK,1.3,VIRALPROTEIN,N,0.120,0.142,Y,A,14-SEP-07,NA
2VCN,1.2,OXIDOREDUCTASE,N,0.213,0.230,Y,A,25-SEP-07,NA
2VEB,1.3,TRANSPORTPROTEIN,N,0.161,0.190,Y,A,18-OCT-07,NA
2VFR,1.1,OXIDOREDUCTASE,N,0.140,0.165,Y,A,05-NOV-07,NA
2VH3,1.2,UNKNOWNFUNCTION,N,0.216,0.236,Y,A,17-NOV-07,NA
2VHA,1,TRANSPORTPROTEIN,N,0.136,0.169,Y,AB,20-NOV-07,NA
2VHK,0.94,PLANTPROTEIN,N,0.125,0.134,Y,A,21-NOV-07,NA
2VK2,1.2,TRANSPORTPROTEIN,N,0.179,0.190,Y,A,16-DEC-07,NA
2VK5,0.97,HYDROLASE,N,NULL,NULL,Y,A,17-DEC-07,NA
2VLA,1.3,HYDROLASE,N,0.140,0.166,Y,A,11-JAN-08,NA
2VOK,1.3,IMMUNESYSTEM,N,0.215,0.236,Y,AB,19-FEB-08,NA
2VPA,1.2,OXIDOREDUCTASE,N,0.142,0.180,Y,A,27-FEB-08,NA
2VR6,1.3,OXIDOREDUCTASE,N,0.135,0.182,Y,AF,28-MAR-08,NA
2VUQ,1.2,RNA,N,0.205,0.228,Y,A,29-MAY-08,NA
2VUV,1.3,SUGAR-BINDINGPROTEIN,N,0.145,0.161,Y,A,30-MAY-08,NA
2VXN,0.82,ISOMERASE,Y,0.092,0.103,Y,A,08-JUL-08,NA
2VY8,1.2,TRANSCRIPTION,N,0.191,0.214,Y,A,19-JUL-08,NA
2VZC,1.1,CELLADHESION,N,0.144,0.159,Y,AB,31-JUL-08,NA
2VZP,1.1,HYDROLASE,N,0.129,0.149,Y,AB,05-AUG-08,NA
2W15,1.1,HYDROLASE/INHIBITOR,N,0.117,0.143,Y,A,14-OCT-08,NA
2W1J,1.2,TRANSFERASE,N,0.172,0.185,Y,AB,17-OCT-08,NA
2W39,1.1,HYDROLASE,N,0.138,0.152,Y,A,07-NOV-08,NA
2W5Q,1.2,TRANSFERASE,N,0.171,0.185,Y,NA,11-DEC-08,NA
2W72,1.1,OXYGENTRANSPORT,N,0.130,0.153,Y,A,19-DEC-08,NA
2W8T,1.3,TRANSFERASE,N,0.150,0.165,Y,A,19-JAN-09,NA
2WBP,1.2,OXIDOREDUCTASE,Y,0.13293,0.17099,Y,A,02-MAR-09,NA
2WBQ,1.1,OXIDOREDUCTASE,Y,0.144,0.178,Y,A,02-MAR-09,NA
2WF7,1.1,ISOMERASE,N,0.154,0.176,Y,A,03-APR-09,NA
2WFI,0.75,ISOMERASE,N,0.107,0.124,Y,A,06-APR-09,NA
2WJ5,1.1,CHAPERONE,N,0.154,0.180,Y,A,22-MAY-09,NA
2WLV,1.3,VIRALPROTEIN,N,0.15456,0.18444,Y,A,26-JUN-09,NA
2WNA,0.97,RNA,N,0.10648,0.12726,Y,A,07-JUL-09,NA
2WNF,1.3,TRANSFERASE,N,0.18115,0.19529,Y,NA,09-JUL-09,NA
2WNP,1.2,IMMUNESYSTEM,N,0.17839,0.19137,Y,F,16-JUL-09,NA
2WNV,1.3,IMMUNESYSTEM,Y,0.17629,0.20176,Y,AD,20-JUL-09,NA
2WPZ,1.3,TRANSCRIPTION,N,0.18126,0.22339,Y,ABC,12-AUG-09,NA
2WQ1,1.1,TRANSCRIPTION,N,0.12938,0.16748,Y,A,12-AUG-09,NA
2WRA,1.1,SUGARBINDINGPROTEIN,Y,0.14499,0.17300,Y,A,01-SEP-09,NA
2WSB,1.3,OXIDOREDUCTASE,N,0.13609,0.17749,Y,ABCD,04-SEP-09,NA
2WTS,1.3,TRANSFERASE,N,0.160,0.195,Y,AB,21-SEP-09,NA
2WUR,0.9,FLUORESCENTPROTEIN,N,0.146,0.174,Y,A,07-OCT-09,NA
2WW6,0.98,CHAPERONE,N,0.12979,0.14710,Y,ABC,22-OCT-09,NA
2WW7,1.1,CHAPERONE,N,0.10832,0.14024,Y,ABCDEF,22-OCT-09,NA
2WWE,1.3,TRANSFERASE,N,0.166,0.184,Y,A,22-OCT-09,NA
2WYT,1,OXIDOREDUCTASE,N,0.125,0.147,Y,AF,20-NOV-09,NA
2X1P,1.1,CONTRACTILEPROTEIN,N,0.204,0.220,Y,ABCD,03-JAN-10,NA
2X1Q,1.1,CONTRACTILEPROTEIN,N,0.214,0.229,Y,AB,03-JAN-10,NA
2X25,1.2,ISOMERASE,N,0.12756,0.15568,Y,B,11-JAN-10,NA
2X2O,1.1,FLAVOPROTEIN,N,0.144,0.173,Y,A,15-JAN-10,NA
2X46,1,ALLERGEN,N,0.13639,0.15735,Y,A,28-JAN-10,NA
2X4K,1.1,ISOMERASE,N,0.18800,0.19533,Y,AB,01-FEB-10,NA
2X5N,1.3,NUCLEARPROTEIN,N,0.1248,0.1646,Y,A,10-FEB-10,NA
2X5X,1.2,HYDROLASE,N,0.139,0.176,Y,A,11-FEB-10,NA
2X5Y,1.1,IMMUNESYSTEM,N,0.13120,0.14927,Y,A,11-FEB-10,NA
2X7K,1.1,ISOMERASE/IMMUNOSUPPRESSANT,Y,0.129,0.149,Y,A,01-MAR-10,NA
2X9G,1.1,OXIDOREDUCTASE,Y,NULL,0.147,Y,ABCD,18-MAR-10,NA
2X9Z,1.3,CELLADHESION,N,0.152,0.178,Y,A,25-MAR-10,NA
2XA5,1.1,TRANSPORTPROTEIN,Y,0.119,0.144,Y,A,26-MAR-10,NA
2XFD,1.2,SUGARBINDINGPROTEIN,Y,0.11854,0.14795,Y,A,21-MAY-10,NA
2XFR,0.97,HYDROLASE,N,0.114,0.130,Y,A,28-MAY-10,NA
2XHF,1.3,OXIDOREDUCTASE,N,0.152,0.184,Y,AB,15-JUN-10,NA
2XI8,1.2,TRANSCRIPTION,N,NULL,0.167,Y,AB,28-JUN-10,NA
2XIO,1.2,HYDROLASE,N,0.173,0.192,Y,A,30-JUN-10,NA
2XJ3,1.2,DNABINDINGPROTEIN,N,0.148,0.184,Y,AB,02-JUL-10,NA
2XJH,0.92,OXIDOREDUCTASE,N,NULL,0.141,Y,AB,06-JUL-10,NA
2XJI,1,OXIDOREDUCTASE,N,NULL,0.129,Y,ABCDEF,06-JUL-10,NA
2XJP,0.95,CELLADHESION,N,0.10553,0.12236,Y,A,06-JUL-10,NA
2XKI,1.3,OXYGENSTORAGE,N,0.147,0.177,Y,A,08-JUL-10,NA
2XL6,1.1,ELECTRONTRANSPORT,N,0.137,0.161,Y,A,19-JUL-10,NA
2XL8,1.1,ELECTRONTRANSPORT,N,0.141,0.161,Y,A,20-JUL-10,NA
2XLE,1.1,ELECTRONTRANSPORT,N,0.153,0.181,Y,A,20-JUL-10,NA
2XLW,1.2,ELECTRONTRANSPORT,N,0.167,0.191,Y,A,22-JUL-10,NA
2XM4,1.1,ELECTRONTRANSPORT,N,0.146,0.170,Y,A,23-JUL-10,NA
2XMJ,1.1,CHAPERONE,N,0.117,0.149,Y,AB,28-JUL-10,NA
2XN6,1.3,TRANSPORT,Y,0.20858,0.23453,Y,A,30-JUL-10,NA
2XNQ,1.3,RNABINDINGPROTEIN,N,0.17567,0.19448,Y,A,05-AUG-10,NA
2XOD,0.96,FLAVOPROTEIN,N,NULL,0.151,Y,A,14-AUG-10,NA
2XOM,0.95,HYDROLASE,Y,0.10458,0.11970,Y,A,20-AUG-10,NA
2XU3,0.9,HYDROLASE,N,0.14248,0.15473,Y,A,14-OCT-10,NA
2XW6,1.1,LYASE,N,0.129,0.161,Y,ABC,01-NOV-10,NA
2XW9,1.2,HYDROLASE,N,0.14528,0.17605,Y,A,01-NOV-10,NA
2XWV,1.1,TRANSPORTPROTEIN,Y,0.126,0.150,Y,A,05-NOV-10,NA
2Y0O,1.2,ISOMERASE,N,0.1470,0.1782,Y,A,07-DEC-10,NA
2Y0T,1.3,MEMBRANEPROTEIN,N,0.17491,0.20855,Y,AB,07-DEC-10,NA
2Y5M,1.1,ANTIBIOTIC,N,0.132,0.155,Y,ABCDEF,14-JAN-11,NA
2Y5P,1.3,PROTEINBINDING,N,0.158,0.196,Y,ABCD,17-JAN-11,NA
2Y6L,1.3,HYDROLASE,N,0.135,0.183,Y,A,24-JAN-11,NA
2Y6N,1.3,ANTIBIOTIC,N,0.149,0.170,Y,ABCDEF,25-JAN-11,NA
2Y78,0.91,ISOMERASE,N,0.1097,0.1161,Y,A,28-JAN-11,NA
2Y7E,1.3,LYASE,N,0.14465,0.17020,Y,AB,31-JAN-11,NA
2YEO,1.1,TOXIN,N,0.1205,0.1234,Y,A,28-MAR-11,NA
2YEX,1.3,TRANSFERASE,N,0.13503,0.16415,Y,A,31-MAR-11,NA
2YGI,0.8,METALTRANSPORT,N,0.076,0.089,Y,ABCD,18-APR-11,NA
2YGJ,0.8,METALTRANSPORT,N,0.087,0.109,Y,A,18-APR-11,NA
2YH5,1.3,LIPIDBINDINGPROTEIN,N,0.14828,0.18387,Y,A,27-APR-11,NA
2YHG,1.1,HYDROLASE,N,0.134,0.151,Y,A,30-APR-11,NA
2YL0,0.95,ELECTRONTRANSPORT,N,0.133,0.150,Y,A,30-MAY-11,NA
2YLN,1.1,TRANSPORTPROTEIN,N,0.11087,0.14176,Y,NA,03-JUN-11,NA
2YN1,1.3,OXIDOREDUCTASE,N,0.169,0.204,Y,AB,11-OCT-12,NA
2YOI,1.3,OXIDOREDUCTASE,N,0.158,0.184,Y,AB,24-OCT-12,NA
2YYX,1,ELECTRONTRANSPORT,N,0.126,NULL,Y,A,02-MAY-07,NA
2Z26,1.3,HYDROLASE,N,0.131,0.154,Y,AB,17-MAY-07,NA
2Z4U,1.1,HYDROLASE,N,0.139,0.146,Y,A,26-JUN-07,NA
2Z72,1.1,HYDROLASE,N,0.110,0.161,Y,A,10-AUG-07,NA
2Z79,1.3,HYDROLASE,N,0.158,0.176,Y,AB,16-AUG-07,NA
2Z8A,1.1,OXYGENBINDING,N,NULL,0.162,Y,AB,04-SEP-07,NA
2ZD8,1.1,HYDROLASE,Y,0.150,0.181,Y,A,20-NOV-07,NA
2ZEX,1.2,HYDROLASE,N,0.157,0.179,Y,AB,18-DEC-07,NA
2ZFD,1.2,SIGNALINGPROTEIN/TRANSFERASE,N,0.180,0.192,Y,A,29-DEC-07,NA
2ZHN,1.3,SUGARBINDINGPROTEIN,Y,0.182,0.192,Y,A,06-FEB-08,NA
2ZJX,1.1,HYDROLASEINHIBITOR,N,NULL,0.211,Y,AB,11-MAR-08,NA
2ZK9,1.1,HYDROLASE,N,0.098,0.136,Y,X,13-MAR-08,NA
2ZNR,1.2,HYDROLASE,N,0.150,0.165,Y,A,01-MAY-08,NA
2ZPM,0.98,HYDROLASE,N,0.151,0.180,Y,A,17-JUL-08,NA
2ZPT,1.1,TRANSFERASE,Y,0.149,0.160,Y,X,28-JUL-08,NA
2ZQ7,0.94,HYDROLASE,N,0.136,0.147,Y,A,07-AUG-08,NA
2ZQ8,1,HYDROLASE,N,0.138,0.148,Y,A,07-AUG-08,NA
2ZSC,1.3,BIOTINBINDINGPROTEIN,N,0.201,0.238,Y,AB,05-SEP-08,NA
2ZVX,1.1,HYDROLASEINHIBITOR,N,NULL,0.212,Y,AB,24-NOV-08,NA
2ZWU,1.3,OXIDOREDUCTASE,N,0.166,0.184,Y,A,18-DEC-08,NA
2ZXY,1.1,OXYGENBINDINGTRANSPORTPROTEIN,N,0.129,0.164,Y,A,09-JAN-09,NA
310D,1.3,RNA,N,NULL,NULL,Y,NA,25-MAY-96,NA
336D,1,DNA,N,0.190,NULL,N,AB,24-JUN-97,NA
352D,0.95,DNA,N,NULL,NULL,Y,ABCDEFGHIJKLMNOP,04-SEP-97,NA
362D,1.3,DNA,N,0.117,0.173,Y,AB,20-AUG-97,NA
366D,1.3,DNA,N,0.185,NULL,Y,A,19-DEC-97,NA
367D,1.2,DNA,N,0.178,NULL,N,AB,19-DEC-97,NA
397D,1.3,RNA,N,0.131,0.177,Y,NA,30-APR-98,NA
3A02,1,GENEREGULATION,N,0.173,0.184,Y,A,28-FEB-09,NA
3A07,1.2,ANTIVIRALPROTEIN,N,0.150,0.163,Y,AB,04-MAR-09,NA
3A0M,1,STRUCTURALPROTEIN,N,NULL,0.143,Y,ABCDEF,21-MAR-09,NA
3A1H,1.1,STRUCTURALPROTEIN,N,NULL,0.185,Y,ABCDEF,03-APR-09,NA
3A4J,1.3,HYDROLASE,N,0.129,0.145,Y,A,07-JUL-09,NA
3A4R,1,TRANSCRIPTION,N,0.159,0.184,Y,AB,14-JUL-09,NA
3A5F,1.2,LYASE,N,0.113,0.140,Y,AB,06-AUG-09,NA
3A6R,1.2,ELECTRONTRANSPORT,N,0.171,0.189,Y,ABCD,08-SEP-09,NA
3A72,1,HYDROLASE,N,NULL,0.125,Y,A,11-SEP-09,NA
3A7L,1.3,TRANSPORTPROTEIN,N,0.178,0.205,Y,A,28-SEP-09,NA
3A8G,1.1,LYASE,Y,0.143,0.169,Y,A,06-OCT-09,NA
3A9B,1.2,HYDROLASE,Y,0.149,0.169,Y,A,22-OCT-09,NA
3A9F,1.3,ELECTRONTRANSPORT,N,0.139,0.155,Y,AB,25-OCT-09,NA
3AB5,1.2,ELECTRONTRANSPORT,N,0.177,0.196,Y,AB,01-DEC-09,NA
3ABN,1,STRUCTURALPROTEIN,N,NULL,0.163,Y,ABC,16-DEC-09,NA
3ADM,1.2,STRUCTURALPROTEIN,N,0.166,0.214,Y,ABCDEF,22-JAN-10,NA
3AGN,0.96,HYDROLASE,Y,0.118,0.127,Y,A,03-APR-10,NA
3AH9,1.1,STRUCTURALPROTEIN,N,0.165,0.191,Y,ABCDEF,22-APR-10,NA
3AJ4,1,PROTEINTRANSPORT,Y,0.106,0.126,Y,AB,21-MAY-10,NA
3AJ7,1.3,HYDROLASE,N,0.173,0.186,Y,A,26-MAY-10,NA
3AJD,1.3,TRANSFERASE,N,0.168,0.185,Y,A,01-JUN-10,NA
3AK8,1.3,METALBINDINGPROTEINOXIDOREDUCTASE,N,0.178,0.212,Y,ABCDEFGHIJKL,08-JUL-10,NA
3AKS,0.97,HYDROLASE,N,0.186,0.192,Y,A,15-JUL-10,NA
3AL1,0.75,STRUCTURALPROTEIN,N,0.131,0.145,Y,AB,26-OCT-98,NA
3ALF,1.2,HYDROLASE,N,0.176,0.187,Y,A,03-AUG-10,NA
3AMR,1.3,HYDROLASE/HYDROLASEINHIBITOR,Y,0.139,0.178,Y,A,22-AUG-10,NA
3AOF,1.3,HYDROLASE,Y,0.173,0.188,Y,AB,27-SEP-10,NA
3AQJ,1.3,METALBINDINGPROTEIN,N,0.162,0.190,Y,ABCPQR,06-NOV-10,NA
3ARX,1.2,HYDROLASE/HYDROLASEINHIBITOR,N,0.162,0.185,Y,A,09-DEC-10,NA
3AUB,1,HYDROLASEINHIBITOR,N,0.167,0.179,Y,AB,03-FEB-11,NA
3AUH,1.2,HYDROLASEINHIBITOR,N,0.183,0.195,Y,ACEG,03-FEB-11,NA
3AYJ,1.1,OXIDOREDUCTASE,N,0.112,0.131,Y,AB,07-MAY-11,NA
3AYX,1.2,OXIDOREDUCTASE,N,0.140,0.169,Y,AC,20-MAY-11,NA
3AZD,0.98,ACTIN-BINDINGPROTEIN,N,0.168,0.171,Y,AB,23-MAY-11,NA
3B0G,1.3,OXIDOREDUCTASE,N,0.161,0.169,Y,A,09-JUN-11,NA
3B0T,1.3,GENEREGULATION,Y,0.180,0.199,Y,A,14-JUN-11,NA
3B12,1.2,HYDROLASE,N,0.177,0.185,Y,AB,19-JUN-11,NA
3B34,1.3,HYDROLASE,Y,0.177,0.194,Y,A,19-OCT-07,NA
3B35,1.1,HYDROLASE,N,0.150,0.166,Y,A,19-OCT-07,NA
3B3R,0.98,OXIDOREDUCTASE,N,0.129,0.159,Y,A,22-OCT-07,NA
3B3T,1.2,HYDROLASE,N,0.143,0.161,Y,A,22-OCT-07,NA
3B3V,1.2,HYDROLASE,N,0.150,0.171,Y,A,22-OCT-07,NA
3B4U,1.2,LYASE,N,0.128,0.156,Y,AB,24-OCT-07,NA
