PDB,RES,SIM,SIMRES
5MC8,1.18,5LYR,1.14
5LYR,1.14,6HMH,1.03
6HMH,1.03,5M17,1.03
1WXC,1.2,5Z0L,1.17
5Z0L,1.17,3AWU,1.16
3AWU,1.16,5Z0E,1.16
5Z0E,1.16,5Z0D,1.16
5Z0D,1.16,5Z0F,1.16
4JV8,1.45,5ML3,1.4
2B3H,1.1,2GZ5,1.1
4C6E,1.263,4C6F,1.261
4C6F,1.261,6HFP,1.198
6HFP,1.198,6HFQ,1.145
5Z0F,1.16,5Z0E,1.16
2BCH,1.1,1VL9,0.97
1VL9,0.97,1G4I,0.97
4UR4,1.45,1MSI,1.25
1MSI,1.25,1HG7,1.15
4ZN5,1.12,4YAA,1.05
2OLB,1.4,1JEU,1.25
1JEU,1.25,1JET,1.2
6EVC,1.18,4ZAB,1.16
4ZAB,1.16,6EV7,1.06
6EV7,1.06,4ZA9,1.01
4ZA9,1.01,6R33,1.01
3OQY,1.494,4O36,1.22
4H2Z,1.45,1WBE,1.36
1WBE,1.36,3RZN,1.1
2ZPE,1.48,3A8O,1.47
3A8O,1.47,3A8G,1.11
4C07,1.499,4C08,1.338
5ZHR,1.45,6AP8,1.27
4KAF,1.496,5UY1,1.35
5UY1,1.35,5FLK,0.99
5FLK,0.99,3G9X,0.95
5YOG,1.42,5YOE,1.35
5YOE,1.35,5YOB,1.142
2UX7,1.3,2UX6,1.3
2UX6,1.3,5XMO,1.19
5XMO,1.19,4YL4,1.1
4YL4,1.1,5ZTD,1.05
5ZTD,1.05,6IFP,1
4KEL,1.148,4K8Y,1
3X25,1.2,3A8G,1.11
2AUU,1.22,1I6T,1.2
1I6T,1.2,1I40,1.1
1I40,1.1,2AU7,1.05
6CQP,1.446,6N9B,1.219
3LI4,1.35,1PJX,0.85
1PJX,0.85,3O4P,0.85
5A91,1.2,2ZQD,1.19
2ZQD,1.19,2ZQ7,0.94
2X6Y,1.35,2X6W,1.35
2X6W,1.35,4XM3,1.27
4XM3,1.27,4XOT,1.06
2E3P,1.4,2E3N,1.4
5Y0L,1.385,5Y0M,1.03
4QKZ,1.2,1I76,1.2
3POT,1.2,5A0Y,1.1
4UTJ,1.07,3L5L,1.03
5RXN,1.2,1IRN,1.2
1IRN,1.2,1IRO,1.1
6U1T,1.483,2XKN,1.4
3MGN,1.4,6PSA,1.3
3AP9,1.33,5GZC,1.08
5G0R,1.25,5A0Y,1.1
2H8F,1.3,3D1K,1.25
1CC7,1.2,1CC8,1.02
4BLK,1.049,3FMU,1.04
1O6G,1.4,1QFM,1.4
1QFM,1.4,1H2W,1.39
1H2W,1.39,2XDW,1.35
3AUG,1.398,3WNY,1.3
3WNY,1.3,3AUH,1.2
4R4T,1.28,4IPC,1.22
4IPC,1.22,4O0A,1.2
2C04,1.15,2J45,1.14
2J45,1.14,2J46,1.14
2J46,1.14,1LS1,1.1
2C6Z,1.2,2CI1,1.08
6Y10,1.22,6Y0Z,1.21
6Y0Z,1.21,1ZK4,1
1FLM,1.3,3A6R,1.2
4J10,1.44,4J42,1.28
5ID8,1.1,5IDA,1.1
5IDA,1.1,5MH1,1.1
5MH1,1.1,5IDB,1
4IKE,1.48,4JL5,1.24
4BS5,1.25,4BS6,1.2
4Z50,1.45,6PRF,1.21
3GKV,1.4,2H8F,1.3
3LZL,1.45,3LZQ,1.41
6HGN,1.478,6HGM,1.369
3DK4,1.2,3DJJ,1.1
3DJJ,1.1,3DK9,0.95
4I4P,1.279,4I4O,1.12
5K92,1.42,3LJM,1.36
5KO6,1.42,6B56,1.42
6B56,1.42,6BI1,1.42
6BI1,1.42,5KO5,1.36
3QXG,1.24,3QU5,1.24
3WW9,1.33,6F0Q,1.3
6F0Q,1.3,6REG,1.3
6REG,1.3,6QSG,1.15
6QSG,1.15,6REK,1.1
6REK,1.1,6I39,1.05
6I39,1.05,6I3B,1
5EKY,1.1,1JCJ,1.1
1JCJ,1.1,1P1X,0.99
2WP3,1.48,3KNB,1.4
3P34,1.4,3Q1I,1.4
4BVM,0.93,6S2S,0.86
6S2S,0.86,6S2M,0.72
3NON,1.05,3NOO,1.03
3NOO,1.03,3NOQ,1
4ZAZ,1.45,4ZAV,1.4
4GOG,1.1,5F82,0.96
1ZKK,1.45,5TEG,1.3
5TEG,1.3,3F9X,1.25
2JCQ,1.25,5BZL,1.23
5BZL,1.23,5BZR,1.15
5BZR,1.15,4MRH,1.12
1JXW,0.89,1AB1,0.89
1AB1,0.89,1JXY,0.89
1JXY,0.89,3U7T,0.85
3U7T,0.85,1EJG,0.54
1EJG,0.54,3NIR,0.48
6AQ1,1.4,5B27,1.02
5B27,1.02,4TKH,0.93
4TKH,0.93,3WVM,0.88
3WVM,0.88,4TKJ,0.87
4TKJ,0.87,4TJZ,0.87
4TJZ,0.87,4TKB,0.86
4S2B,1.46,3CWN,1.4
1EAX,1.3,3P8G,1.2
3P8G,1.2,3NCL,1.19
6EH5,1.29,6EH4,1.26
5YP8,1.448,5YP7,1.424
4FEG,1.09,4KGD,1.06
4WS3,1.4,4WRZ,1.193
4WRZ,1.193,4WPK,0.98
2XMK,1.35,2XMJ,1.08
2ZL5,1.47,2ZL7,1.35
5I4I,1.06,5HYV,1.031
5HYV,1.031,5XU2,0.97
5XU2,0.97,5XUF,0.88
5XUF,0.88,5XVT,0.85
6HMD,1,6HMQ,0.97
4CLM,1.4,6H5J,1.4
6H5J,1.4,6H5G,1.04
6H5G,1.04,4CNN,1
6FTD,1.4,5NFX,1.34
5NFX,1.34,3S7O,1.24
3S7O,1.24,4Q0H,1.157
4Q0H,1.157,4CQH,1.14
4CQH,1.14,5AJG,1.11
6I9N,1.361,6F4O,1.28
6F4O,1.28,6F4Q,1.12
6F4Q,1.12,4GJZ,1.048
5UGD,1.38,5UGG,1.2
5ARB,1.15,5ARC,1.1
5ARC,1.1,5AQE,1.1
5AQE,1.1,1GCI,0.78
2BIG,1.3,2BIE,1.3
2BIE,1.3,1W23,1.08
2E3B,1.3,2E3A,1.3
2E3A,1.3,2E39,1.3
4YZU,1.41,5JBA,1.4
5JBA,1.4,5TNT,1.4
5TNT,1.4,5JB9,1.3
4H6C,1.35,4H6B,1.35
1GM7,1.45,1GK9,1.3
1EAO,1.4,1EAQ,1.25
6NNS,1.45,6NPX,1.42
6NPX,1.42,6NNN,1.35
6NNN,1.35,5BMN,1.27
4U2L,1.337,4U2S,1.12
4U2S,1.12,4XWR,1.1
4XWR,1.1,4XXG,0.85
4XXG,0.85,4REK,0.74
4ORS,1.4,4OS3,1.4
4OS3,1.4,4ORR,1.4
3LDC,1.45,3LDD,1.45
4H4R,1.4,4H4V,1.4
4H4V,1.4,2GQW,1.4
4CNY,1.2,4CO3,1.05
3X1F,1.35,3X1G,1.3
3X1G,1.3,3X1E,1.25
3X1E,1.25,3WKQ,1.15
3WKQ,1.15,4ZK8,1.15
6MAQ,1.31,6MAP,1.08
4UZ1,1.4,6T2K,1.38
6T2K,1.38,6R8R,1.27
6AT2,1.444,6AT4,1.332
5CKL,0.99,5CMT,0.99
1WUK,1.1,1WUI,1.04
1WUI,1.04,4U9H,0.89
4W7K,1.05,4W7L,1.05
1OOG,1.45,1OOH,1.25
3V0F,1.3,3V0D,1.1
3X35,0.95,3X33,0.93
3X33,0.93,3X34,0.76
4NPE,1.42,4NPD,0.9
4JLL,1.36,4J4Z,1.26
4K0G,1.4,4JZQ,1.35
4JZQ,1.35,4K0N,1.25
3ZHO,1.2,4DY4,1.2
1CZ9,1.2,1CXQ,1.02
4GE8,1.499,4GBU,1.179
5C7G,1.45,6FMC,0.9
6AYQ,1.42,6AYM,1.25
3X0M,1.15,3X0O,1.09
3X0O,1.09,3X0L,1
3X0L,1,3X0K,0.97
3X0K,0.97,3X0I,0.91
2Y68,1.49,2Y66,1.49
2Y66,1.49,2Y1O,1.49
2Y1O,1.49,2X5O,1.46
2Q5B,1.45,3CVB,1.4
4MQM,1.346,4MQL,1.3
4MQL,1.3,5KWI,1.3
5KWI,1.3,4QEK,1.299
3ZNX,1.35,3ZNV,1.3
3KUS,1.4,3KUJ,1.4
6FNJ,1.239,6FNM,1.157
6FNM,1.157,6FNK,1.049
3W8F,1.45,3W8D,1.37
3W8D,1.37,5B4T,1.19
6GI3,1.38,6GI4,1.35
3VH9,1.29,1RTQ,0.95
6H9W,1.35,6H9Y,1.31
3UCI,1.35,4R5R,0.96
6NZA,1.406,6NZB,1.37
5HA1,1.35,5HBS,0.89
1H5V,1.1,1H11,1.08
1H11,1.08,1OCQ,1.08
1OCQ,1.08,7A3H,0.95
1SIX,1.3,3LOJ,1.25
3LOJ,1.25,3HZA,1.2
4YTV,1.45,4YTW,1.4
2XR5,1.42,2XR6,1.35
4WWB,1.11,4WWF,1.1
4C5J,1.45,4C5K,1.4
4L8A,1.2,5VD6,1.2
3LL2,0.97,3LL1,0.97
3LL1,0.97,2GUD,0.94
5HWN,1.499,4UR7,1.499
4EOD,1.3,3NB8,1.3
3NB8,1.3,4EOE,1.2
4EOE,1.2,5B4I,1.11
5B4I,1.11,5B4H,1.11
5B4H,1.11,3I94,1.04
4K0W,1.2,4JF5,1.15
6RKG,1.32,5OL4,1.28
2IMT,1.49,2IMS,1.48
2IMS,1.48,5VX1,1.224
5D14,1,4XDX,0.95
6QO8,1.319,6QO9,1.299
5QI5,1.05,5QHU,1.05
5QHU,1.05,5QHT,1.05
5QHT,1.05,5QI9,1.05
5QI9,1.05,5QI0,1.05
5QI0,1.05,5QI3,1.05
5QI3,1.05,5QHV,1.05
5QHV,1.05,5QI1,1.05
5QI1,1.05,5QI7,1.05
4IK2,1.4,4IAV,1.35
4IAV,1.35,4IHM,1.29
4X7V,1.45,4X7Y,1.4
6QDY,1.416,6RKG,1.32
4L77,1.379,4FB2,1.37
5MOF,1.45,6CBA,1.13
6CBA,1.13,5LUN,1.08
3IU7,1.4,3PKB,1.25
3PKB,1.25,3PKA,1.25
5HHK,1.4,5HHJ,1.2
3HPW,1.452,3VUB,1.4
5JWH,1.4,5Y4Z,1.3
3B9G,1.4,3EPW,1.3
5XD4,1.47,5GGB,1.1
3F1N,1.479,3F1P,1.17
1K6F,1.3,1X1K,1.1
2DCF,1.4,3VWN,1.2
1B16,1.4,1SBY,1.1
3GKN,1.47,5IMZ,1.1
5IMZ,1.1,5IMF,1.04
5IMF,1.04,5IMA,1.04
5IMA,1.04,5INY,1.04
1QJ4,1.1,3C70,1.05
3C70,1.05,3C6Z,1.05
3C6Z,1.05,3C6X,1.05
6M82,1.397,6M83,1.369
6M83,1.369,3PFG,1.349
5FEP,1.45,5FEW,1.17
4B2B,1.36,1CSE,1.2
1E6S,1.35,1E6Q,1.35
1E6Q,1.35,1E4M,1.2
3GVJ,1.48,3GVL,1.41
3GVL,1.41,3JU4,0.98
3T3K,1.24,3T3L,1.15
4OWZ,1.47,4X08,1.34
6EKY,1.23,6EKZ,1.08
6D4C,1.45,6D4B,1.45
3TLE,1.3,3TLA,1.201
3TLA,1.201,4IIY,1.2
6F3Q,1.45,6F3P,1.35
1JKV,1.39,1O9I,1.33
3L0F,1.35,3O18,1.35
5B0G,1.4,5B08,1.325
4JH6,1.32,4JH2,1.27
5OM2,1.47,6HGM,1.369
6OC7,1.296,2IGD,1.1
2IGD,1.1,1IGD,1.1
1JBO,1.45,3O18,1.35
3O18,1.35,3L0F,1.35
3QZL,1.3,3QZM,1.25
4WKH,1.05,4WJX,1
4WJX,1,4WKA,0.95
2WX9,1.37,2XA5,1.09
2XA5,1.09,2XWV,1.05
2GYP,1.4,1G2Y,1
1TJM,1.18,1UOW,1.04
1UOW,1.04,1TJX,1.04
6UR3,1.423,6UQS,1.37
6UQS,1.37,6UQT,1.25
6UQT,1.25,6UQU,1.09
6UQU,1.09,4WZ4,1.05
4JEW,1.48,4JEX,1.43
4JEX,1.43,4JF1,1.28
4CBU,1.3,6I4E,1.22
4YZX,1.25,4YZ0,1.15
1WB6,1.4,1GKL,1.4
1GKL,1.4,1WB4,1.4
1WB4,1.4,1WB5,1.4
2NZL,1.35,5QIE,1.34
5QIE,1.34,5QIH,1.33
5QIH,1.33,5QIF,1.2
5QIF,1.2,6GMC,1.2
4F6J,1.45,2XKI,1.3
5ILS,1.399,5ILU,1.101
4DPA,1.05,4DP9,1
4DP9,1,4DPB,1
4MLW,1.45,4M2P,1.45
4M2P,1.45,4YI8,1.2
4LHL,1.43,2XJQ,1.35
2XJQ,1.35,2XJR,1.25
2XJR,1.25,2XJT,1.2
2XJT,1.2,2XJP,0.95
4RDC,1.198,4NV3,1.09
4NV3,1.09,4RV5,1.04
6IQZ,1.46,6IQX,1.432
3V1C,1.129,3V1A,0.98
1QT9,1.3,1CZP,1.17
6FR5,1.37,6EH5,1.29
1PQA,1.23,1FY4,0.81
1FY4,0.81,1FY5,0.81
1FY5,0.81,1GDN,0.81
1GDN,0.81,1PQ7,0.8
3L42,1.3,5C6S,1.3
6QVH,1.28,6QYB,1.18
6QYB,1.18,6R01,1.18
1Q2Q,1.4,1ONH,1.38
1ONH,1.38,1RGZ,1.37
4INF,1.48,4QTG,1.47
4QTG,1.47,4QRN,1.07
4MXD,1.45,4MYD,1.374
4J45,1.48,4J44,1.3
1W2P,1.45,1W32,1.2
4PLP,1.49,4XQC,1.27
3MJC,1.48,3MJS,1.4
3MJS,1.4,3MJE,1.36
1R2M,1,2PL7,1
2PL7,1,2B97,0.75
3MWJ,1.4,2GXQ,1.2
3UJ9,1.24,3UJC,1.19
4OJG,1.377,2BJD,1.27
5NMJ,1.399,5NLZ,1.149
5NLZ,1.149,5NLH,1.1
5NLH,1.1,5NLD,0.96
3LW1,1.28,6Y1J,1.127
6BHG,1.45,6BHE,1.35
6BHE,1.35,6BHD,1.25
5TL9,1.2,4AL0,1.16
6QW8,1.1,4HBU,1.1
4HBU,1.1,4HBT,1.1
4HBT,1.1,6SP6,1.1
2BSC,1.4,1ZK5,1.4
6I6K,1.49,6I6L,1.29
6I6L,1.29,6I6M,1.2
3IP8,1.498,3IXL,1.45
1HZB,1.28,1C9O,1.17
5VW2,1.451,5VW4,1.351
5VW4,1.351,3LO8,1.05
4J86,1.48,4J84,1.473
4J84,1.473,4J73,1.439
4D4D,1.4,5AGD,1.2
6UCE,1.382,6UCF,1.29
5QIO,1.46,5QIV,1.39
5QIV,1.39,5QIX,1.39
5KTN,1.34,5KTS,1.34
5KTS,1.34,5KTR,1.34
3VKS,1.4,3VKP,1.4
3VKP,1.4,3B0G,1.25
6KEL,1.4,6T2T,1.3
5TQ1,1.485,5TNW,1.4
6CWR,1.24,6CWM,1.15
1PWC,1.1,1YQS,1.05
6HB9,1.3,6HYN,1.14
4S3C,1.45,4S3E,1.35
4S3E,1.35,4S39,1.3
6TVG,1.48,6TVE,1.05
3G6K,1.35,3FWK,1.2
1YU8,1.45,2RJV,1.45
2RJV,1.45,1YU5,1.4
1YU5,1.4,2RJY,1.4
6SPT,1.2,5L87,0.87
4BS0,1.09,1I1W,0.89
1S2P,1.3,1I4U,1.15
5VAS,1.4,6D9I,1.15
6D9I,1.15,5V92,1.11
4EEU,1.407,4EET,1.2
6I3D,1.45,6I3C,1.336
6I3C,1.336,3BWY,1.3
2IPN,1.15,2IPM,1.12
2IPM,1.12,2FVY,0.92
6OFM,1.48,6OFK,1.15
5U8V,1.45,5U8U,1.35
4ESM,1.35,3TK2,1.35
3TK2,1.35,4Q3Z,1.35
4Q3Z,1.35,4Q3X,1.35
3WJG,1.1,3WJD,1.1
3WJD,1.1,4YMY,1
4LXU,1.4,4LXT,1.4
4LXT,1.4,4LXQ,1.4
5XR0,0.98,5XQV,0.97
3ZRX,1.25,3ZCC,1.25
4J7D,1.25,4J74,1.2
4J74,1.2,4LWU,1.14
1N82,1.45,2Q8X,1.45
5ZUN,1.35,3PE6,1.35
4CZ7,1.1,4CZ5,1.02
2UWR,1.34,2J8B,1.15
5IQO,1.302,5IQN,1
1OX7,1.43,1P6O,1.14
4IZU,1.4,5NXZ,1.21
5NXZ,1.21,5JQN,1.19
1RL9,1.45,1M15,1.2
6MFE,1.444,5BYK,1.28
5NZP,1.3,5NZO,1.29
5D0E,1.48,4WP9,1.382
4PLF,1.35,4PLG,1.192
2A3F,1.4,1PM1,1.1
5ACM,1.05,4UNU,0.95
5XFC,1.4,5GGN,1.211
5IYW,1.41,5IYP,1.27
5JT1,1.35,5JSH,1.3
5JSH,1.3,5JSK,0.95
1O82,1.46,4RGD,1.2
6BSL,1.45,3EDG,1.27
3EDG,1.27,3EDH,1.25
3FWA,1.496,3FW9,1.489
4MRY,1.299,1QV1,1.1
1QV1,1.1,1QV0,1.1
3UAY,1.4,3UAZ,1.4
3UAZ,1.4,3UAX,1.2
3UAX,1.2,3UAW,1.2
4KXW,0.97,4KXV,0.97
2I8T,1.3,1RYA,1.3
2CIZ,1.3,2CIW,1.15
3X2G,1,3X2L,0.83
3X2L,0.83,3X2M,0.64
3VIM,1.03,3VII,0.97
5MTT,1.12,5MK9,0.919
1MUY,1.4,1KG5,1.35
1KG5,1.35,1MUN,1.2
1MUN,1.2,1KG2,1.2
6UOC,1.4,6UO7,1.395
6UO7,1.395,6UO3,1.09
1ZYW,1.3,1ZVG,1.2
1ZVG,1.2,1DJT,1.2
4Z27,1.34,4Z2O,1.17
6ETC,1.197,1H4A,1.15
3QXS,1.35,3QXC,1.34
5TIV,1.43,6UUY,1.37
6I24,1.43,6I20,1.37
3G3P,1.478,3DNJ,1.15
3F5S,1.36,3F1L,0.95
6AIL,1.335,6AJP,1.334
5KVQ,1.45,5KVS,1.28
4JXH,1.47,1R8S,1.46
1K2A,1,2BZZ,0.98
2BZZ,0.98,1GQV,0.98
3ADM,1.18,3A1H,1.08
5KVF,1.4,5KVG,1.4
5GIH,1.392,5GI8,1.3
5GI8,1.3,5GIF,1.3
5GIF,1.3,5GIG,1.3
5GIG,1.3,5GII,1.294
5GII,1.294,5GI7,1.201
4XJJ,1.4,1M9Z,1.05
4NCV,1.2,4NCU,1.11
2HQK,1.19,4Q9W,1
2QT7,1.3,3N01,1.3
3AK3,1.48,3AK2,1.35
3I39,1.36,2YIV,1.28
2YIV,1.28,1SU8,1.1
1SU8,1.1,4UDY,1.09
4UDY,1.09,4UDX,1.03
3RDK,1.49,3RO8,1.34
5NJA,1.4,5NJ9,1.25
5TKH,1.2,4EIR,1.1
4KL7,1.45,4EMN,1.17
2CAK,1.27,2CAL,1.1
3UEJ,1.301,3UEY,1.301
3UEY,1.301,3UFF,1.3
1USF,1.3,1USC,1.24
6VD1,1.32,6VCX,1.1
3MQG,1.43,3MQH,1.43
3QSD,1.3,4I07,1.3
1N63,1.21,1N60,1.19
1N60,1.19,1N62,1.09
6NLA,1.34,3FIL,0.88
5NE3,1.35,5NE2,1.19
4G8C,1.11,4G9E,1.088
1RA5,1.4,1RA0,1.12
6AFP,1.398,6AFM,1.3
4GE0,1.45,4QYT,1.05
3AYI,1.25,3AYL,1.25
3AYL,1.25,3AYJ,1.1
5KQL,1.45,5JNT,1.45
4WJE,1.285,4O4V,1.23
4ITB,1.4,4ITA,1.4
2FWF,1.3,2FWH,0.99
6G10,1.35,6FUB,1.3
6FUB,1.3,6FU9,1.2
5FAH,1.1,2QXI,1
1QTS,1.4,1KYF,1.22
2CXV,1.4,2H9H,1.39
2H9H,1.39,2HAL,1.35
5ZRG,1.3,5ZRC,1.1
1UYX,1.47,1UYY,1.47
1UYY,1.47,1UXZ,1.4
1MFG,1.25,2H3L,1
5GRR,1.45,5K4P,1.318
5NPF,1.38,5O0S,1.16
5YD3,1.35,5YD4,1.35
3KI7,1.32,3ESS,1.191
6A66,1.4,6KJW,1.36
6ISM,1.25,6ITA,1.2
3IOF,1.44,3IOG,1.41
2XBN,1.4,2W8T,1.25
1J9B,1.26,1S3C,1.25
1TKH,1.25,1TKF,1.2
1TKF,1.2,1TKJ,1.15
6SYR,1.49,6SYV,1.12
1KW3,1.45,1KW6,1.45
6GBY,1.48,5AKR,0.87
2NX0,0.95,2NRL,0.91
2NRL,0.91,3QM8,0.91
3QM8,0.91,3QM6,0.91
3QM6,0.91,3QM9,0.91
3QM9,0.91,3QM5,0.91
3DFJ,1.45,3GYL,1.3
4J5Q,1.35,4J5R,1.25
5Z89,1.42,5Z8P,1.35
5Z8P,1.35,5Z95,1.2
1ZMK,1.3,1ZMI,1.15
5M1K,1.2,5M1N,1.2
5M1N,1.2,5M1P,1.1
4GVH,1.45,4HZM,1.45
4HZM,1.45,4GVF,1.35
2HZY,1.35,1HYO,1.3
6Q6C,1.3,6Q61,1.3
3VWD,1.25,4B5O,1.05
5GV8,0.78,3W5H,0.78
2A9Z,1.35,2A9Y,1.35
2A9Y,1.35,2ABS,1.1
3HZC,1.45,3KA2,1.4
3WY6,1.45,3WQ0,1.22
3WQ0,1.22,3WR0,1.16
3WR0,1.16,3VGI,1.07
5CGW,1.4,5CHJ,1.358
5CHJ,1.358,5CGX,1.21
5CGX,1.21,5CHU,1.1
1LQK,1.35,1LQP,1.19
1LQP,1.19,1NKI,0.95
3HNB,1.15,3HNY,1.07
5YMX,1.35,6H17,1.275
2Y53,1.4,2Y5D,1.4
2OEI,1.35,2HO2,1.33
1U1W,1.35,1XUB,1.3
5TJX,1.408,2ANY,1.4
5E50,1.376,5W7W,1.348
5JHY,1.4,5JHX,1.4
1G8T,1.1,4E3Y,0.95
4HMT,1.42,4HMS,1.33
6GRO,1.45,2IZR,1.3
2P4T,1.15,2GQV,1.1
2GQV,1.1,2RH2,0.96
5KM9,1.45,4INC,1.19
5NPZ,1.43,5NQ0,1.1
5FQI,1.4,4UHU,1.305
3C00,1.41,3BZY,1.2
3BZZ,1.407,3BZY,1.2
4GNQ,1.4,4GMU,1.2
3HYG,1.4,3B8Z,1.4
4PRS,1.47,6GGP,1.03
1GA4,1.4,1GA6,1
1SI6,1.45,2IMQ,1.3
3OCY,1.4,3OCU,1.35
3OCU,1.35,3SF0,1.35
3SF0,1.35,3OCZ,1.35
3M8M,1.05,3M5Q,0.93
5Y45,1.03,5Y46,1.03
1P5B,1.35,1P4C,1.35
5KZ6,1.252,3N12,1.2
3N12,1.2,3N17,1.2
4UQC,1.3,5A6M,1.17
2BHZ,1.2,2BHU,1.1
4PQW,1.47,4LMM,1.1
4LMM,1.1,4MPA,1.097
4MPA,1.097,4N6X,1.051
3KKP,1.35,3KKQ,1.2
4PSB,1.42,2FLH,1.2
5IGY,1.45,5IH1,1.31
5IH1,1.31,5IWU,1.3
6K4T,1.39,5B15,1.39
5B15,1.39,5AXO,1.39
5AXO,1.39,6K4X,1.17
5T7K,1.3,5LSV,1.1
2WW7,1.06,2WW6,0.98
5D51,1.47,5MDL,1.41
4IUD,1.45,4IUC,1.45
4IUC,1.45,5MDL,1.41
5JSD,1.48,5JS4,1.48
4V2K,1.29,4WQD,1.22
4BFN,1.32,4BFO,1.175
2JB2,1.45,2JAE,1.25
3AFV,1.4,3MM3,1.4
3MM3,1.4,3VXJ,1.39
1M2B,1.25,1M2D,1.05
1JF3,1.4,1JF4,1.4
1JF4,1.4,1JL7,1.4
1JL7,1.4,1JL6,1.4
6IGI,1.33,6IGH,1.01
6IGH,1.01,6IGG,1
4WFI,1.446,5ZRQ,1.12
1QK8,1.4,1O8X,1.3
1V0U,1.42,1V0W,1.35
4IX4,1.499,4IX3,1.35
3ZE9,1.33,6RUC,1.199
6RUC,1.199,6RTP,1.1
6NL6,1.4,6NL7,1.4
6HAH,1.45,6HA4,1.33
3KWE,1.1,3KWD,1.1
3WMU,1.1,3WMV,1.05
2NQH,1.1,1QTW,1.02
5IK5,1.39,5IK4,1.27
4UUM,1.368,4UUL,1.28
5WVA,1.47,4ZGW,1.47
5D3U,1.45,4TPO,1.225
4TPO,1.225,4TPN,1.18
4KEE,1.448,4KEF,1.098
6I71,1.4,6I73,1.35
2V0U,1.4,5DJT,1.4
3ISG,1.4,4MLL,1.37
1C1X,1.4,1C1D,1.25
2PSD,1.4,2PSF,1.4
5O2O,1.43,5O29,1.379
5ENE,1.49,5ENF,1.37
4XMH,1.29,4XME,1.29
5MH5,1.4,5MH6,1.35
2ETX,1.33,3K05,1.33
2O8O,1.35,1NQJ,1
6FL2,1.27,6FIY,1.09
1TZB,1.16,1X9I,1.16
4Q4K,1.44,4QIT,1.4
3CA6,1.4,3C9Z,1.35
2RH6,1.45,2GSO,1.3
4ALF,1.25,4A9V,1.1
5SZB,1.2,5SZC,1.193
3S2M,1.399,3S2L,1.399
3S2L,1.399,3S2J,1.297
6BHK,1.4,6BHL,1.4
1QYZ,1.4,1C52,1.28
2Y61,0.99,2VXN,0.82
5E1N,1,5E1K,1
5E1K,1,1EXR,1
1UPX,1.25,1GNL,1.25
1GNL,1.25,1OA0,1.25
6HPT,1.44,6HPH,1.13
5FU2,1.4,5AOS,1.29
5AOS,1.29,5AOT,1.02
2EKP,1.15,4JP2,1.15
3M6Y,1.45,3MUX,1.45
5B7N,1.399,5B7G,1.399
1XWT,1.3,1H12,1.2
4I2L,1.426,3W19,1.278
6DBA,1.3,6U14,1.3
4HRT,1.46,4HRR,1.25
5NJW,1.25,5NGG,1.18
2A70,1.1,2A6Z,1
4ALQ,1.48,4A02,0.95
6F8N,1.45,4NZC,1.45
6TVI,1,6TRG,1
2ASC,1.1,2YEO,1.08
5AK8,1.48,5AK7,1.46
5AK7,1.46,4YTB,1.4
3AHS,1.32,3AHW,1.03
3AHW,1.03,3AGO,0.99
3AGO,0.99,3AGN,0.96
2ZVQ,1.3,2ZPT,1.15
6SSF,1.48,6SSD,1.18
1W1H,1.45,1W1G,1.45
4W7V,1.43,4W7W,1.05
5IGT,1.39,5IGS,1.38
5IGS,1.38,5IGI,1.2
2VH7,1.45,6CBU,1.2
4P6A,1.398,3A07,1.19
5K0R,1.45,5K1K,1.301
5K1K,1.301,4B5N,1.1
4UAU,1.45,4UAT,1.3
4UAT,1.3,4UAS,1.2
3BOI,1,2PNE,0.98
2VK7,1.2,2VK5,0.97
2VK5,0.97,2BF6,0.97
6BG5,1.1,6BG3,1.05
1HE4,1.4,1HDO,1.15
5OOV,1.365,5OP3,1.359
6DTZ,1.36,6DI2,1.32
6DI2,1.32,6DTV,1.12
1VM9,1.48,2Q3W,1.48
4S27,1.27,4S28,1.25
3WRO,1.48,4PP4,1.45
6T8I,1.4,6TCV,1.311
5NYM,1.4,5NYK,1.05
3ICH,1.2,4FRV,1.1
4FRV,1.1,4FRU,1.1
2PYA,0.86,1YK4,0.69
3M6U,1.402,3M6W,1.3
1W9M,1.35,1GNT,1.25
3FQ4,1.487,3FSO,1.405
6LL8,NONE,,
3ONE,1.35,3OND,1.17
2NT4,1.02,2GKG,1
5MXC,1.14,6GKE,1.08
4AYQ,1.1,4AYP,0.85
4AYP,0.85,4AYO,0.85
3UR7,1.4,3UR8,1.26
1ZIE,1.44,1ZIR,1.36
4J2S,1.4,4IZX,1.1
4ZVE,1.2,4ZVF,1.15
3AYZ,1.22,3AYX,1.18
5CU9,1.48,5KBK,1.411
5KBK,1.411,4N3T,1.4
5EIP,1.49,5O8M,1.45
5IT3,1.4,6E1F,1.16
3Q6V,1.37,5EW0,1.3
2NUK,1.2,2NWF,1.1
6G7D,1.35,6H40,1.053
4GOD,1.4,4GOF,1.35
5E21,1.011,5E1Y,1.011
4W9B,1.279,1AMM,1.2
3AU2,1.4,3B0X,1.36
2X2P,1.15,2XOD,0.96
1IR0,1,1IQZ,0.92
1GYY,1.35,1GYX,1.35
1OBD,1.4,2CNQ,1
5IXB,1.39,1I1J,1.39
4HK2,1.4,5TOF,1.12
5TOF,1.12,5TOG,1.08
5IGA,1.45,5I7I,1.3
3IP6,1.4,3IP5,1.35
3IP5,1.35,3IPC,1.3
1RWF,1.45,1RW9,1.35
1RW9,1.35,1RWA,1.3
