PDB,RES,SIM,SIMRES
6P5W,1.69,6BG5,1.1
6O9Q,1.9,6A1I,1.6
6QF7,4,4XDE,2.14
6QNS,2.4,6G5K,2
6O3V,3.5,6O6B,2.7
6T8L,1.7,6T8I,1.4
6T8I,1.4,6TCV,1.311
6OB5,2.208,5FIO,2.1
6TPJ,2.74,6TPN,2.608
6TPN,2.608,5WS3,2.3
6KOO,2.8,5ZX3,2.751
6O08,1.798,6MYW,1.157
6T22,2.21,6T21,2.07
6JAX,1.7,6JAV,1.437
6K0C,2.281,5CHL,1.892
6JXF,1.8,5Y00,1.6
6RYB,2.315,6RYA,2.21
6OEB,2.1,5KO9,1.5
6NZ6,1.95,6NZ4,1.92
6KOC,3.8,6KOE,3.75
6KOE,3.75,6KOB,3.6
6ONO,1.85,6ONU,1.85
6LL7,NONE,,
6LL8,NONE,,
6J7E,2.4,6JDI,1.95
6JDI,1.95,5EXP,1.8
6RM8,1.95,6RM9,1.85
6TFQ,2.05,6TFX,1.56
6S3T,3.5,6RNN,1.735
6KZC,2,6KZD,1.708
6TZY,3,6TZZ,3
6JLY,3.5,5B04,2.994
6JLZ,3.35,5B04,2.994
6PCF,2.2,6PCE,1.65
6R76,2.4,6R77,2
6P0Y,2.6,4DRS,2.5
6PD5,2.39,6A0Z,2.329
6PD3,2.3,6PCX,2.11
6LKP,NONE,,
6L1O,1.9,6L1L,1.9
6JNP,2.261,4JMF,2.099
6UGL,2.03,6KJU,1.75
6KGW,2.407,6KGT,2.308
6KGT,2.308,6KGH,2.108
6KGH,2.108,6KGU,2.106
6QMS,1.8,4CSR,1.5
6UKE,1.62,6UKF,1
6NJU,2.35,6NJT,2.07
6NPB,1.73,6NPC,1.7
6TM1,3.71,6TKY,2.55
6JQE,1.9,6LAI,1.6
6LAI,1.6,6LAC,1.3
6J42,2.492,4R42,1.902
6JNK,2.2,6JNJ,1.5
6LFJ,NONE,,
6LKR,NONE,,
6KZR,NONE,,
6JIR,1.95,6IZO,1.94
6JBS,2.4,6KJ0,2.27
6PTQ,2.1,6PTX,1.65
6K8T,1.9,6K8S,1.8
6JHB,2.27,6JH7,1.38
6KQC,1.7,6KP5,1.1
6SZG,1.84,6SZH,1.65
6PLE,2.5,3HX9,1.75
6J75,2.695,6J76,2.368
6LE5,3.1,6AGH,2.742
6J79,3.331,6J7A,3.269
6O0E,2.5,6O0F,2.12
6SU3,1.5,6SU4,1.5
6QUQ,2.993,4Z0H,2.3
6OS3,1.7,6OS6,1.33
6PI0,2.09,6PHX,2
6PHX,2,6PHY,2
6JL0,2.073,6JKZ,1.397
6KJG,1.99,6KJI,1.99
6U17,1.55,5HF7,1.54
6J3H,2.19,6J3G,1.95
6OAQ,2.54,6OAP,1.97
6O1F,2.15,1AVX,1.9
6NS0,2.2,6NRZ,2.1
6OM2,2.77,6OM1,2.66
6RMQ,3,6JQ1,2.3
6ONU,1.85,6ONO,1.85
6J7L,1.851,6J7J,1.75
6QWU,NONE,,
6QXR,NONE,,
6QYG,NONE,,
6QYF,NONE,,
6QXQ,NONE,,
6OS0,2.9,6OS2,2.7
6KIY,1.9,6KIK,1.601
6PVG,1.709,6PVF,1.69
6PVF,1.69,6PVJ,1.25
6NP4,1.151,6NP3,1.15
6OJL,1.5,6OJK,1.5
6OJK,1.5,2V8I,1.5
6QEP,2.6,6QFO,2.3
6QFO,2.3,6QFK,2
6R1B,2.27,4MFI,1.5
6JSC,1.4,6JSA,1.3
6RP9,3.12,5D2N,2.099
6JB2,1.5,6JB9,1.15
6QQJ,2.08,6QSA,1.7
6QSA,1.7,6QQI,1.7
6QQI,1.7,6QQH,1.38
6T6F,1.97,6QP5,1.9
6V5M,1.5,6V71,1.4
6S84,2.89,2A6A,2.5
6V2R,1.6,4MN3,1.542
6KR4,2.85,6KIP,1.911
6OJD,1.99,6OJC,1.94
6LDZ,2.4,5KJP,1.8
6RUV,6.15,6SEJ,3.501
6SEJ,3.501,6S0A,2.52
6JWP,3.2,4ARZ,3.1
6R31,2.6,6R3M,1.45
6QGH,2,6QGK,1.8
6QGK,1.8,6QGG,1.5
6QKG,2.2,6QKR,2.2
6PGN,1.85,5TTY,1.8
6NR7,3,1TR2,2.9
6S29,1.988,6S1L,1.94
6S1L,1.94,6S1R,1.8
6NW0,1.85,6RXN,1.5
6U51,2.52,6U52,1.9
6U52,1.9,6U50,1.6
6JKH,3,6JKG,2.9
6SF5,1.9,6SF4,1.7
6RNS,2.69,6RNQ,1.95
6RTD,2.36,6RTE,1.94
6OC8,NONE,,
6JOA,NONE,,
6K5Z,2.33,6K9Z,1.78
6ULD,1.5,3H7F,1.5
6LL6,2.5,6UNX,1.4
6UNX,1.4,6UMK,1.35
6Q0Y,1.7,6Q0A,1.65
6L2H,2.096,4JCL,1.7
6RYV,2.3,6STX,1.9
6OZV,2.18,6P4U,2.1
6P4U,2.1,6OYF,2.1
6OH3,2.75,6OH2,2.58
6JOW,NONE,,
6J39,2.45,6J38,2.3
6OFP,2.006,4YTD,1.5
6JQC,1.8,6JQD,1.69
6R43,2.52,6R41,2.21
6THY,1.75,6F0O,1.6
6QKN,2.3,6FU3,1.8
6L6H,2.403,6L6G,1.98
6PFV,3,6PFJ,2.08
6JOQ,2.4,6JON,2.34
6JON,2.34,6A9W,1.8
6V0T,2.1,2PNQ,1.81
6QXN,NONE,6IBP,
6QY6,NONE,6IBP,
6QJ6,1.74,6RCZ,1.74
6SR6,NONE,,
6J3I,2.5,6J3A,2.38
6JZE,2.51,6JZC,2.201
6RZ7,2.43,6RZ6,2.43
6KZF,2.52,5YV7,2.395
6U7B,2.09,6P80,1.5
6K8X,1.59,6KBY,1.097
6KFR,3.1,6KFM,1.7
6ON9,1.995,6ON6,1.423
6PAI,2.9,6UD7,2.3
6S7Y,2.3,6S7X,1.7
6QIN,1.6,6QLA,1.43
6S02,1.87,6RZQ,1.81
6LJF,1.5,6LJE,1.4
6KPM,1.8,6KPL,1.75
6JIV,NONE,,
6SCP,1.8,6SAT,1.6
6U73,2.38,6EUB,2.3
6RAS,2.75,6RAU,1.99
6RAU,1.99,6RAR,1.785
6JP6,2.699,6JPL,2.32
6OH8,2.17,6OH6,2.07
6RS6,1.6,6RS9,1.4
6PYX,2.6,6PYO,2
6U9X,2.6,6NL1,2.297
6S50,2,6S4Q,1.85
6QM3,2,6QHJ,1.25
6LB9,NONE,,
6JUF,NONE,,
6QP2,1.6,6QP1,1.42
6S23,2.38,6S0G,1.45
6NXK,2.2,4YII,1.804
6KN9,3.302,3WO4,3.1
6RYM,1.46,6RYJ,1.25
6RYJ,1.25,6RYG,0.974
6JUT,2.1,5X5O,1.868
6OB2,2.845,6OB3,2.1
6UNA,2.554,1CM8,2.4
6JOD,3.2,5XJM,3.2
6KZ8,2.291,6KZ9,1.801
6URH,2.2,6MEH,1.99
6KBM,2.902,5XJG,2.4
6J8O,1.855,6J7B,1.618
6UE5,2.61,6UD7,2.3
6U9U,2.26,6U3Z,1.99
6KBN,3.2,6KBM,2.902
6T0Y,1.2,6T1B,1.2
6K03,2.857,6K09,2.248
6P0R,2.4,2R3A,2
6OIL,1.85,6MVL,1.61
6U3F,NONE,,
6PIB,2.26,6PH9,1.92
6QTB,1.89,6QTA,1.89
6OVO,2.49,6OVN,1.77
6ULX,2.31,6ULY,2.3
6OIH,3.85,6M96,2.05
6J82,2.202,6J84,2
6J84,2,6J83,1.9
6JG0,2.5,4XSJ,1.8
6OBP,2.7,6OBN,2.7
6RPX,NONE,,
6RPY,NONE,,
6RPZ,NONE,,
6JM7,1.572,6JMB,1.389
6S9I,2.598,6S8Q,2.391
6P8V,2.64,6U7B,2.09
6P7T,2.5,6PB9,2.109
6PB9,2.109,6P7R,1.8
6QE4,2.3,6GEU,1.55
6P3O,1.8,6P3M,1.8
6P3M,1.8,6P3N,1.6
6JHJ,1.69,6JH5,1.54
6OE2,3,3GGL,3
6S2Z,2.5,5HPZ,1.96
6UEC,2.6,3PMO,1.3
6RZ4,2.7,6RZ5,2.53
6R7U,1.6,6R7V,1.4
6QX4,3.27,6HHU,2.7
6Q09,1.75,6TYJ,1.6
6OF7,3.11,4CT0,2.45
6PGQ,2.85,6PFO,1.78
6R73,NONE,,
6R6O,1.9,6R6M,1.7
6R46,2.5,6RNW,1.92
6RNW,1.92,6RNV,1.27
6JEA,2.275,6JEB,1.498
6KGZ,NONE,,
6KHQ,NONE,,
6JV1,1.2,6JV0,1.14
6PWR,1.2,6PWS,1
6SCD,1.35,6SBN,1.09
6L6X,2.18,6L6W,2.17
6L6W,2.17,6DCH,1.8
6J4B,1.58,6J4C,1.58
6J4C,1.58,6J4D,1.4
6SM2,2.5,6SM1,1.55
6T48,2.17,6T4C,1.8
6QII,2.28,6QGT,1.988
6QGT,1.988,6QGR,1.839
6OKN,3.25,6OGX,2.77
6O7Y,2.2,6O80,2.1
6SAN,1.36,6SA5,1.29
6LAE,2.81,6J44,2.06
6UCC,2.6,6NDU,2.1
6K7F,1.8,6K7E,1.534
6RTY,2.1,6RTX,1.95
6RTX,1.95,6RTW,1.9
6U2F,2.94,5VLP,2.9
6T8S,NONE,,
6J73,3.211,6J72,2.2
6OB6,2.9,6OB7,2.3
6O9I,2.6,6O9H,2.1
6SGE,1.5,6HXU,1.19
6OZY,2.014,6OZX,1.851
6QN7,2.15,6QN9,1.89
6JHW,2.04,5VGB,1.497
6U33,NONE,,
6U2S,NONE,4Q7G,
6UKC,NONE,,
6UL3,NONE,,
6U55,1.93,6U52,1.9
6RP5,1.49,4ESA,1.45
6K0G,1.8,6K0I,1.8
6JK5,1.25,6JK4,1.06
6OE9,1.94,5YZP,1.581
6JHZ,NONE,,
6JBC,2.7,6JBD,2.5
6P8F,2.89,1JSU,2.3
6K08,2.312,6K07,2.24
6KQI,3.245,5U09,2.6
6SAD,2.753,6S9K,1.6
6PU3,1.8,6OFQ,1.45
6QU8,1.19,6QU6,1.03
6S9F,NONE,,
6T5S,1.5,6T6C,1.25
6PU0,1.898,6PTZ,1.793
6K7P,2.4,6R80,2.2
6SDR,2.1,6SDV,1.9
6P2T,1.853,6ULL,1.45
6JOM,NONE,,
6SOZ,3.42,6SOY,2.75
6QPH,3.4,6RHZ,3.2
6NVO,2.196,6NVP,2
6QJ4,5.8,6QJ2,3
6NYC,1.893,6NYT,1.369
6O8D,3.547,6O89,2.09
6SV3,1.64,6RWV,1.639
6OGN,2.4,4C4A,1.7
6LJD,2.15,6LJC,1.85
6OGX,2.77,6OKM,2.1
6PL5,3.5,6PL6,3.3
6JH8,2.149,6JH9,1.739
6JIS,1.82,6JIW,1.58
6KU8,NONE,,
6KU7,NONE,,
6L1W,2.194,3U9G,1.801
6P0G,2.27,6P0F,1.683
6TZ7,2.5,5B8I,1.85
6UTS,3.09,1TQ5,1.76
6KJ5,NONE,,
6K3G,NONE,,
6NWC,2.35,6NWB,2.003
6SHC,3.55,2HZ6,3.1
6RR3,1.69,6RRA,1.4
6J6O,1.848,6J6P,1.53
6OXD,2,6OXC,1.9
6LI1,2.9,6LI0,2.2
6PX6,3,6PY2,2.825
6PRK,3.2,6PRH,2.08
6KPC,3.2,5ZTY,2.8
6NLO,2.85,6BZS,2.3
6S24,2.12,6S22,1.96
6PCM,NONE,,
6U69,2.61,6U6A,2.45
6RUL,2.2,6RUM,1.6
6KOL,2.211,6L9S,2
6PX5,2.4,3E6P,2.1
6JVX,2.301,6JVY,2.003
6K1X,1.802,6K1W,1.5
6JDJ,2.6,6JDX,2.28
6NU7,1.9,6NU8,1.8
6OQ5,3.87,6OQ6,2.97
6JHY,2.5,4H14,1.55
6JCK,3.09,6IW3,1.64
6U54,1.6,6U53,1.49
6ONT,NONE,,
6TNM,NONE,,
6K6N,NONE,,
6UI4,NONE,,
6QVM,NONE,,
6K6M,NONE,,
